Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8925,-0.07,264,17,1
8952,-0.14,1071,121,1
8979,-0.17,2079,410,1
9006,-0.13,2809,901,1
9033,-0.17,3090,1477,1
9060,-0.11,2845,1941,1
9087,-0.12,2118,2113,1
9114,-0.15,1152,1892,1
9141,-0.05,267,1306,1
9168,-0.17,-316,501,1
9195,-0.13,-552,-316,1
9222,-0.18,-539,-966,1
9249,-0.09,-432,-1350,1
9276,-0.15,-355,-1476,1
9303,-0.09,-367,-1422,1
9330,-0.15,-459,-1289,1
9357,-0.09,-586,-1160,1
9384,-0.17,-700,-1075,1
9411,-0.20,-760,-1035,1
9438,-0.12,-707,-1011,1
9465,-0.16,-413,-953,1
9492,-0.17,178,-796,1
9519,-0.15,883,-486,1
9546,-0.12,1433,-32,1
9573,-0.12,1714,478,1
9600,-0.21,1753,924,1
9627,-0.06,1582,1202,1
9654,-0.16,1139,1258,1
9681,-0.03,404,1065,1
9708,-0.15,-456,630,1
9735,-0.06,-1186,8,1
9762,-0.13,-1613,-677,1
9789,-0.06,-1719,-1278,1
9816,-0.19,-1605,-1672,1
9843,-0.13,-1416,-1808,1
9870,-0.02,-1262,-1719,1
9897,-0.04,-1194,-1489,1
9924,-0.15,-1198,-1214,1
9951,-0.12,-1232,-965,1
9978,-0.17,-1250,-776,1
10005,-0.12,-1213,-640,1
10032,-0.15,-1045,-525,1
10059,-0.12,-589,-376,1
10086,-0.07,167,-121,1
10113,-0.12,933,288,1
10140,-0.10,1448,817,1
10167,-0.09,1676,1354,1
10194,-0.10,1681,1773,1
10221,-0.06,1458,1986,1
10248,-0.16,909,1950,1
10275,-0.21,88,1648,1
10302,-0.15,-756,1100,1
10329,-0.16,-1377,394,1
10356,-0.12,-1652,-323,1
10383,-0.07,-1619,-897,1
10410,-0.16,-1413,-1224,1
10437,-0.09,-1182,-1286,1
10464,-0.17,-1021,-1141,1
10491,-0.04,-954,-890,1
10518,-0.20,-953,-628,1
10545,-0.13,-974,-417,1
10572,-0.17,-974,-274,1
10599,-0.05,-922,-185,1
10626,-0.19,-750,-114,1
10653,-0.01,-314,-7,1
10680,-0.21,410,200,1
10707,-0.19,1167,557,1
10734,-0.09,1701,1035,1
10761,-0.18,1951,1529,1
10788,-0.11,1955,1916,1
10815,-0.13,1676,2100,1
10842,-0.17,1034,2024,1
10869,-0.07,153,1662,1
10896,-0.15,-679,1048,1
10923,-0.15,-1232,290,1
10950,-0.10,-1423,-446,1
10977,-0.14,-1320,-1002,1
11004,-0.15,-1077,-1289,1
11031,-0.18,-843,-1307,1
11058,-0.14,-703,-1134,1
11085,-0.10,-668,-878,1
11112,-0.22,-701,-634,1
11139,-0.12,-748,-457,1
11166,-0.15,-765,-354,1
11193,-0.11,-725,-303,1
11220,-0.18,-578,-264,1
11247,-0.14,-208,-187,1
11274,-0.16,437,-13,1
11301,-0.13,1184,303,1
11328,-0.08,1771,750,1
11355,-0.13,2083,1240,1
11382,-0.17,2079,1648,1
11409,-0.13,1682,1856,1
11436,-0.16,922,1778,1
11463,-0.03,19,1384,1
11490,-0.14,-744,734,1
11517,-0.15,-1181,-28,1
11544,-0.17,-1253,-723,1
11571,-0.15,-1065,-1200,1
11598,-0.19,-785,-1390,1
11625,-0.13,-555,-1324,1
11652,-0.15,-446,-1095,1
11679,-0.08,-451,-821,1
11706,-0.23,-522,-590,1
11733,-0.05,-597,-445,1
11760,-0.10,-634,-380,1
11787,-0.12,-600,-364,1
11814,-0.23,-436,-347,1
11841,-0.11,-17,-276,1
11868,-0.13,670,-88,1
11895,-0.19,1397,254,1
11922,-0.12,1915,720,1
11949,-0.10,2155,1206,1
11976,-0.09,2073,1584,1
12003,-0.09,1584,1742,1
12030,-0.15,767,1602,1
12057,-0.07,-123,1153,1
12084,-0.12,-835,473,1
12111,-0.08,-1216,-282,1
12138,-0.10,-1256,-940,1
12165,-0.13,-1060,-1364,1
12192,-0.18,-789,-1505,1
12219,-0.11,-570,-1402,1
12246,-0.12,-465,-1152,1
12273,-0.12,-468,-867,1
12300,-0.09,-533,-629,1
12327,-0.10,-603,-478,1
12354,-0.13,-630,-405,1
12381,-0.06,-553,-376,1
12408,-0.13,-272,-333,1
12435,-0.11,285,-210,1
12462,-0.18,1012,50,1
12489,-0.14,1640,458,1
12516,-0.20,2006,942,1
12543,-0.15,2055,1381,1
12570,-0.19,1727,1647,1
12597,-0.11,1056,1644,1
12624,-0.17,222,1337,1
12651,-0.10,-542,769,1
12678,-0.13,-1052,63,1
12705,-0.14,-1236,-618,1
12732,-0.15,-1143,-1128,1
12759,-0.13,-901,-1381,1
12786,-0.18,-653,-1377,1
12813,-0.16,-496,-1188,1
12840,-0.17,-453,-916,1
12867,-0.09,-492,-658,1
12894,-0.14,-558,-471,1
12921,-0.18,-595,-366,1
12948,-0.15,-519,-316,1
12975,-0.19,-195,-262,1
13002,-0.20,419,-127,1
13029,-0.13,1125,150,1
13056,-0.13,1665,564,1
13083,-0.08,1941,1028,1
13110,-0.16,1936,1420,1
13137,-0.16,1590,1629,1
13164,-0.21,900,1575,1
13191,-0.08,36,1231,1
13218,-0.13,-738,640,1
13245,-0.19,-1223,-75,1
13272,-0.14,-1358,-748,1
13299,-0.08,-1221,-1230,1
13326,-0.14,-966,-1444,1
13353,-0.07,-735,-1402,1
13380,-0.09,-608,-1188,1
13407,0.01,-591,-910,1
13434,-0.10,-646,-660,1
13461,-0.09,-712,-486,1
13488,-0.14,-706,-390,1
13515,-0.10,-478,-327,1
13542,-0.16,77,-217,1
13569,-0.09,824,20,1
13596,-0.03,1474,414,1
13623,-0.07,1858,900,1
13650,-0.09,1982,1357,1
13677,-0.12,1877,1669,1
13704,-0.10,1487,1762,1
13731,-0.11,777,1598,1
13758,-0.15,-97,1170,1
13785,-0.12,-872,529,1
13812,-0.08,-1347,-206,1
13839,-0.06,-1473,-877,1
13866,-0.12,-1345,-1345,1
13893,-0.10,-1114,-1544,1
13920,-0.12,-912,-1494,1
13947,-0.07,-802,-1281,1
13974,0.02,-779,-1009,1
14001,-0.08,-801,-759,1
14028,-0.10,-817,-573,1
14055,-0.04,-753,-449,1
14082,-0.08,-468,-343,1
14109,0.01,133,-183,1
14136,-0.12,902,103,1
14163,-0.13,1550,535,1
14190,-0.14,1924,1042,1
14217,-0.17,2036,1502,1
14244,-0.19,1907,1802,1
14271,-0.11,1473,1871,1
14298,-0.12,726,1673,1
14325,-0.03,-156,1208,1
14352,-0.11,-912,536,1
14379,-0.02,-1356,-215,1
14406,-0.15,-1454,-884,1
14433,-0.13,-1305,-1337,1
14460,-0.17,-1065,-1516,1
14487,-0.09,-860,-1449,1
14514,-0.13,-750,-1224,1
14541,-0.06,-732,-948,1
14568,-0.14,-759,-702,1
14595,-0.09,-779,-524,1
14622,-0.15,-752,-411,1
14649,-0.07,-608,-332,1
14676,-0.13,-213,-230,1
14703,-0.10,470,-36,1
14730,-0.08,1226,302,1
14757,-0.11,1794,770,1
14784,-0.12,2080,1272,1
14811,-0.17,2050,1681,1
14838,-0.11,1630,1880,1
14865,-0.07,865,1787,1
14892,-0.04,-25,1383,1
14919,-0.08,-783,731,1
14946,-0.08,-1231,-27,1
14973,-0.09,-1329,-718,1
15000,-0.14,-1167,-1195,1
15027,-0.07,-897,-1391,1
15054,-0.08,-655,-1331,1
15081,-0.11,-517,-1102,1
15108,-0.16,-488,-816,1
15135,-0.15,-528,-562,1
15162,-0.16,-585,-388,1
15189,-0.11,-618,-296,1
15216,-0.17,-598,-260,1
15243,-0.06,-470,-237,1
15270,-0.16,-138,-179,1
15297,-0.08,453,-27,1
15324,-0.11,1176,261,1
15351,-0.11,1777,684,1
15378,-0.14,2028,1157,1
15405,-0.05,1791,1536,1
15432,-0.08,1132,1673,1
15459,-0.12,298,1481,1
15486,-0.08,-452,984,1
15513,-0.04,-943,309,1
15540,-0.11,-1116,-366,1
15567,-0.13,-1018,-884,1
15594,-0.11,-766,-1152,1
15621,-0.11,-495,-1164,1
15648,-0.13,-305,-986,1
15675,-0.07,-231,-719,1
15702,-0.06,-251,-459,1
15729,-0.03,-319,-270,1
15756,-0.09,-387,-171,1
15783,-0.07,-421,-145,1
15810,-0.09,-404,-157,1
15837,-0.10,-324,-170,1
15864,-0.11,-133,-149,1
15891,-0.15,239,-62,1
15918,-0.08,799,123,1
15945,-0.09,1375,423,1
15972,-0.12,1677,798,1
15999,-0.07,1544,1138,1
16026,-0.12,1040,1306,1
16053,-0.03,364,1207,1
16080,-0.11,-267,845,1
16107,-0.10,-698,314,1
16134,-0.13,-860,-239,1
16161,-0.07,-782,-680,1
16188,-0.13,-555,-918,1
16215,-0.05,-300,-938,1
