Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8925,-0.17,86,5,1
8952,-0.26,352,39,1
8979,-0.12,686,134,1
9006,0.13,935,297,1
9033,0.36,1055,490,1
9060,0.46,1060,657,1
9087,1.18,992,750,1
9114,0.89,930,754,1
9141,1.40,1026,696,1
9168,1.16,1384,643,1
9195,1.68,1874,671,1
9222,1.20,2257,811,1
9249,2.00,2417,1018,1
9276,1.53,2372,1198,1
9303,1.99,2112,1266,1
9330,1.92,1544,1157,1
9357,2.02,694,830,1
9384,2.36,-214,282,1
9411,2.13,-928,-422,1
9438,2.62,-1308,-1152,1
9465,2.25,-1374,-1756,1
9492,2.70,-1251,-2123,1
9519,2.48,-1083,-2224,1
9546,2.73,-969,-2108,1
9573,2.80,-940,-1868,1
9600,2.73,-974,-1599,1
9627,3.18,-1026,-1365,1
9654,2.69,-1053,-1188,1
9681,3.46,-1034,-1059,1
9708,2.99,-970,-951,1
9735,3.57,-880,-838,1
9762,3.42,-783,-708,1
9789,3.50,-695,-561,1
9816,3.79,-624,-408,1
9843,3.67,-576,-261,1
9870,4.16,-534,-132,1
9897,3.85,-427,-20,1
9924,4.28,-115,98,1
9951,4.13,442,273,1
9978,4.36,1045,551,1
10005,4.52,1473,920,1
10032,4.28,1648,1305,1
10059,4.87,1496,1596,1
10086,4.42,944,1686,1
10113,5.10,114,1501,1
10140,4.76,-705,1036,1
10167,5.19,-1267,384,1
10194,5.16,-1467,-291,1
10221,5.21,-1355,-822,1
10248,5.54,-1085,-1100,1
10275,5.30,-820,-1113,1
10302,5.76,-664,-929,1
10329,5.32,-634,-661,1
10356,5.88,-684,-409,1
10383,5.72,-753,-232,1
10410,6.10,-790,-141,1
10437,6.12,-775,-108,1
10464,6.06,-714,-95,1
10491,6.63,-624,-71,1
10518,6.16,-526,-21,1
10545,6.99,-436,54,1
10572,6.51,-355,145,1
10599,7.16,-241,239,1
10626,6.88,21,344,1
10653,6.95,505,490,1
10680,7.30,1096,718,1
10707,7.19,1575,1034,1
10734,7.69,1808,1382,1
10761,7.36,1697,1660,1
10788,8.00,1177,1755,1
10815,7.62,374,1582,1
10842,8.22,-436,1128,1
10869,8.04,-1007,478,1
10896,8.37,-1220,-208,1
10923,8.60,-1115,-762,1
10950,8.39,-841,-1068,1
10977,9.07,-564,-1108,1
11004,8.68,-392,-945,1
11031,9.34,-355,-691,1
11058,8.98,-419,-450,1
11085,9.58,-519,-288,1
11112,9.33,-593,-218,1
11139,9.68,-607,-215,1
11166,9.76,-557,-236,1
11193,9.92,-462,-242,1
11220,10.29,-350,-210,1
11247,10.06,-245,-140,1
11274,10.83,-158,-45,1
11301,10.44,-92,55,1
11328,11.11,-13,148,1
11355,10.73,182,234,1
11382,11.25,602,345,1
11409,11.15,1172,528,1
11436,11.57,1666,804,1
11463,11.66,1945,1131,1
11490,11.71,2010,1423,1
11517,12.11,1841,1592,1
11544,12.00,1345,1572,1
11571,12.44,572,1316,1
11598,12.25,-245,825,1
11625,12.96,-862,167,1
11652,12.61,-1156,-521,1
11679,13.29,-1157,-1089,1
11706,12.98,-988,-1432,1
11733,13.59,-786,-1523,1
11760,13.47,-644,-1413,1
11787,13.95,-590,-1194,1
11814,13.81,-600,-956,1
11841,14.19,-629,-759,1
11868,14.28,-642,-623,1
11895,14.47,-619,-537,1
11922,14.67,-562,-475,1
11949,14.71,-481,-413,1
11976,15.07,-392,-338,1
12003,15.06,-305,-246,1
12030,15.58,-226,-145,1
12057,15.53,-163,-44,1
12084,15.99,-109,47,1
12111,15.80,-16,126,1
12138,16.45,257,211,1
12165,16.17,776,345,1
12192,16.87,1359,573,1
12219,16.50,1782,893,1
12246,17.23,1976,1236,1
12273,16.89,1975,1508,1
12300,17.60,1747,1631,1
12327,17.23,1182,1552,1
12354,18.03,362,1237,1
12381,17.68,-441,697,1
12408,18.25,-998,16,1
12435,18.03,-1216,-659,1
12462,18.72,-1151,-1181,1
12489,18.43,-944,-1460,1
12516,19.03,-734,-1486,1
12543,18.73,-603,-1328,1
12570,19.45,-568,-1082,1
12597,19.11,-596,-840,1
12624,19.81,-636,-654,1
12651,19.48,-651,-535,1
12678,20.17,-620,-464,1
12705,20.00,-547,-410,1
12732,20.62,-451,-349,1
12759,20.36,-356,-268,1
12786,21.17,-275,-169,1
12813,20.78,-214,-65,1
12840,21.61,-171,31,1
12867,21.35,-142,110,1
12894,22.10,-121,169,1
12921,21.86,-68,210,1
12948,22.50,126,251,1
12975,22.16,565,333,1
13002,22.84,1151,509,1
13029,22.76,1649,794,1
13056,23.26,1927,1137,1
13083,23.11,1991,1445,1
13110,23.79,1900,1632,1
13137,23.84,1607,1649,1
13164,24.46,999,1470,1
13191,24.70,186,1078,1
13218,25.01,-546,499,1
13245,25.42,-993,-172,1
13272,25.52,-1119,-795,1
13299,26.05,-1023,-1241,1
13326,25.70,-850,-1445,1
13353,26.56,-709,-1429,1
13380,26.14,-650,-1270,1
13407,26.92,-661,-1058,1
13434,26.58,-699,-864,1
13461,27.40,-722,-719,1
13488,27.07,-710,-623,1
13515,27.71,-662,-552,1
13542,27.58,-584,-485,1
13569,27.73,-490,-404,1
13596,28.16,-395,-306,1
13623,28.27,-314,-195,1
13650,28.80,-253,-83,1
13677,28.52,-171,20,1
13704,29.38,40,121,1
13731,29.06,479,254,1
13758,29.71,1051,464,1
13785,29.66,1536,766,1
13812,30.03,1807,1114,1
13839,30.41,1839,1418,1
13866,30.41,1567,1585,1
13893,31.15,937,1537,1
13920,30.85,98,1229,1
13947,31.87,-668,682,1
13974,31.54,-1138,4,1
14001,32.12,-1248,-643,1
14028,32.40,-1088,-1110,1
14055,32.24,-825,-1314,1
14082,33.26,-603,-1270,1
14109,32.96,-492,-1063,1
14136,33.66,-492,-801,1
14163,33.77,-553,-572,1
14190,34.03,-618,-421,1
14217,34.74,-645,-346,1
14244,34.43,-619,-316,1
14271,35.45,-544,-296,1
14298,35.35,-444,-257,1
14325,35.87,-339,-188,1
14352,36.69,-244,-94,1
14379,36.62,-165,10,1
14406,37.43,-65,115,1
14433,37.56,168,223,1
14460,37.77,633,363,1
14487,38.68,1221,582,1
14514,38.41,1707,891,1
14541,39.12,1969,1239,1
14568,39.55,2021,1537,1
14595,39.55,1823,1700,1
14622,40.53,1268,1661,1
14649,40.38,436,1375,1
14676,40.86,-400,844,1
14703,41.67,-992,153,1
14730,41.46,-1232,-549,1
14757,42.22,-1169,-1105,1
14784,42.75,-940,-1410,1
14811,42.67,-697,-1451,1
14838,43.63,-537,-1290,1
14865,43.82,-484,-1031,1
14892,43.73,-508,-773,1
14919,44.95,-558,-574,1
14946,45.05,-590,-453,1
14973,45.22,-581,-391,1
15000,46.39,-531,-356,1
15027,46.77,-454,-319,1
15054,46.89,-361,-262,1
15081,47.92,-217,-179,1
15108,48.07,81,-59,1
15135,48.16,601,123,1
15162,49.17,1206,402,1
15189,49.43,1680,769,1
15216,49.39,1923,1159,1
15243,50.41,1897,1474,1
15270,50.94,1523,1620,1
15297,50.90,814,1520,1
15324,51.71,-37,1147,1
15351,52.40,-773,545,1
15378,52.28,-1207,-158,1
15405,53.00,-1296,-802,1
15432,53.82,-1128,-1245,1
15459,53.86,-856,-1420,1
15486,54.04,-612,-1347,1
15513,55.08,-465,-1112,1
15540,55.45,-416,-820,1
15567,55.31,-430,-558,1
15594,56.22,-461,-370,1
15621,56.93,-476,-261,1
15648,56.77,-464,-209,1
15675,57.49,-422,-182,1
15702,58.96,-360,-155,1
15729,59.38,-284,-114,1
15756,59.48,-176,-52,1
15783,60.14,55,36,1
15810,60.93,508,177,1
15837,61.05,1109,407,1
15864,61.09,1627,735,1
15891,62.19,1923,1111,1
15918,62.92,1973,1442,1
15945,62.83,1723,1632,1
15972,63.23,1121,1601,1
15999,64.05,294,1307,1
16026,64.77,-496,768,1
16053,65.01,-1035,83,1
16080,64.92,-1238,-594,1
16107,65.89,-1157,-1114,1
16134,66.65,-923,-1384,1
16161,66.96,-673,-1397,1
16188,66.85,-497,-1218,1
16215,67.54,-421,-947,1
16242,68.43,-420,-677,1
16269,68.74,-454,-468,1
16296,68.69,-486,-337,1
16323,69.19,-495,-272,1
16350,70.01,-476,-243,1
16377,70.84,-433,-224,1
16404,70.93,-373,-195,1
16431,71.92,-304,-148,1
16458,73.02,-232,-84,1
16485,73.99,-162,-9,1
16512,74.57,-62,71,1
16539,74.58,176,164,1
16566,74.65,639,300,1
16593,74.97,1221,520,1
