Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8430,1.52,102,6,1
8458,1.35,411,46,1
8486,3.05,793,157,1
8514,4.13,1083,345,1
8542,5.51,1268,572,1
8570,6.00,1399,781,1
8598,6.25,1509,937,1
8626,7.13,1571,1027,1
8654,8.63,1527,1048,1
8682,8.47,1343,994,1
8710,8.35,1044,851,1
8738,9.53,693,617,1
8766,10.18,360,310,1
8794,9.69,101,-30,1
8822,10.64,-60,-354,1
8850,11.12,-130,-616,1
8878,10.70,-134,-789,1
8906,11.29,-107,-866,1
8934,12.15,-84,-863,1
8962,11.74,-83,-810,1
8990,12.23,-110,-738,1
9018,12.66,-162,-671,1
9046,13.06,-221,-625,1
9074,12.74,-267,-600,1
9102,14.06,-276,-588,1
9130,13.40,-219,-570,1
9158,14.26,-80,-525,1
9186,14.42,112,-436,1
9214,14.08,292,-300,1
9242,15.30,382,-136,1
9270,14.54,334,14,1
9298,15.58,158,105,1
9326,15.53,-90,103,1
9354,15.55,-347,6,1
9382,16.47,-553,-158,1
9410,15.89,-672,-345,1
9438,16.96,-702,-504,1
9466,16.45,-666,-600,1
9494,17.08,-599,-618,1
9522,17.30,-538,-568,1
9550,17.06,-506,-475,1
9578,18.12,-504,-368,1
9606,17.39,-524,-273,1
9634,18.59,-553,-203,1
9662,18.34,-574,-159,1
9690,18.92,-580,-133,1
9718,19.25,-568,-113,1
9746,19.11,-520,-89,1
9774,20.07,-393,-46,1
9802,19.32,-161,32,1
9830,20.42,139,164,1
9858,19.90,407,349,1
9886,20.53,532,560,1
9914,20.67,471,737,1
9942,20.56,261,823,1
9970,21.43,-20,783,1
9998,20.79,-294,624,1
10026,21.69,-497,388,1
10054,20.73,-602,136,1
10082,21.74,-612,-76,1
10110,21.11,-555,-211,1
10138,21.68,-472,-257,1
10166,21.78,-398,-228,1
10194,21.64,-352,-154,1
10222,22.43,-340,-67,1
10250,21.79,-353,7,1
10278,22.99,-375,54,1
10306,22.20,-390,73,1
10334,23.25,-395,74,1
10362,22.66,-386,67,1
10390,23.40,-358,62,1
10418,23.51,-280,70,1
10446,23.64,-98,104,1
10474,24.12,206,186,1
10502,23.67,565,333,1
10530,24.70,845,539,1
10558,23.86,927,758,1
10586,25.17,787,918,1
10614,24.38,492,954,1
10642,25.59,144,837,1
10670,24.85,-171,592,1
10698,25.65,-392,275,1
10726,25.37,-490,-37,1
10754,25.58,-479,-285,1
10782,25.90,-401,-429,1
10810,25.74,-308,-468,1
10838,26.58,-241,-423,1
10866,26.00,-220,-337,1
10894,27.17,-239,-247,1
10922,26.46,-280,-182,1
10950,27.58,-321,-152,1
10978,26.75,-349,-150,1
11006,28.04,-357,-163,1
11034,27.28,-348,-177,1
11062,28.44,-323,-180,1
11090,27.89,-272,-167,1
11118,28.76,-150,-132,1
11146,28.32,93,-60,1
11174,28.98,449,67,1
11202,28.69,810,261,1
11230,29.13,1031,500,1
11258,29.22,1017,723,1
11286,29.50,781,852,1
11314,29.66,413,829,1
11342,29.76,28,645,1
11370,30.28,-280,343,1
11398,30.20,-462,-2,1
11426,30.73,-505,-310,1
11454,30.59,-445,-523,1
11482,31.29,-335,-614,1
11510,30.81,-227,-594,1
11538,31.66,-159,-501,1
11566,31.34,-142,-380,1
11594,32.04,-162,-271,1
11622,31.59,-202,-198,1
11650,32.26,-243,-164,1
11678,31.87,-270,-162,1
11706,32.81,-277,-175,1
11734,32.53,-265,-187,1
11762,33.19,-226,-188,1
11790,32.99,-120,-166,1
11818,33.50,93,-107,1
11846,33.31,407,4,1
11874,33.86,725,179,1
11902,33.68,914,395,1
11930,33.89,895,596,1
11958,34.07,676,712,1
11986,34.35,336,692,1
12014,34.58,-20,526,1
12042,34.56,-301,254,1
12070,35.01,-458,-54,1
12098,34.78,-482,-327,1
12126,35.54,-406,-507,1
12154,34.95,-289,-572,1
12182,36.05,-181,-535,1
12210,35.28,-114,-432,1
12238,36.45,-95,-308,1
12266,35.54,-113,-200,1
12294,36.87,-149,-129,1
12322,36.18,-188,-97,1
12350,37.37,-217,-97,1
12378,36.71,-216,-111,1
12406,37.61,-150,-121,1
12434,37.24,22,-103,1
12462,37.61,305,-32,1
12490,37.75,616,107,1
12518,37.47,826,301,1
12546,38.36,846,499,1
12574,37.74,674,633,1
12602,38.97,373,646,1
