Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8441,-0.04,110,7,1
8469,-0.11,517,55,1
8497,0.55,1233,208,1
8525,0.56,2059,522,1
8553,0.81,2712,985,1
8581,1.52,3033,1498,1
8609,1.23,2979,1918,1
8637,1.90,2493,2108,1
8665,1.70,1624,1974,1
8693,2.26,596,1491,1
8721,2.44,-317,725,1
8749,2.38,-915,-170,1
8777,2.95,-1127,-1005,1
8805,2.83,-1008,-1612,1
8833,2.88,-702,-1901,1
8861,3.49,-371,-1876,1
8889,3.13,-143,-1622,1
8917,3.65,-72,-1266,1
8945,3.89,-144,-931,1
8973,3.57,-299,-696,1
9001,4.24,-473,-589,1
9029,4.08,-607,-589,1
9057,4.16,-626,-644,1
9085,4.66,-431,-685,1
9113,4.28,34,-636,1
9141,4.68,659,-436,1
9169,4.95,1201,-80,1
9197,4.61,1444,360,1
9225,5.22,1256,749,1
9253,4.98,654,939,1
9281,5.08,-169,833,1
9309,5.53,-965,431,1
9337,5.15,-1525,-165,1
9365,5.63,-1746,-791,1
9393,5.80,-1643,-1279,1
9421,5.64,-1324,-1517,1
9449,6.21,-941,-1476,1
9477,5.95,-630,-1211,1
9505,6.08,-461,-829,1
9533,6.35,-436,-446,1
9561,5.99,-513,-150,1
9589,6.48,-629,21,1
9617,6.26,-713,76,1
9645,6.30,-669,61,1
9673,6.91,-383,50,1
9701,6.55,162,124,1
9729,6.98,798,343,1
9757,7.08,1298,700,1
9785,6.88,1477,1109,1
9813,7.54,1208,1433,1
9841,7.29,548,1531,1
9869,7.51,-270,1325,1
9897,7.73,-996,839,1
9925,7.44,-1449,197,1
9953,8.01,-1562,-428,1
9981,7.73,-1384,-884,1
10009,7.93,-1039,-1079,1
10037,8.18,-673,-1008,1
10065,7.84,-397,-744,1
10093,8.20,-261,-395,1
10121,7.95,-257,-68,1
10149,7.98,-338,162,1
10177,8.28,-448,271,1
10205,7.83,-533,275,1
10233,8.28,-521,218,1
10261,8.06,-298,163,1
10289,8.10,201,187,1
10317,8.42,854,354,1
10345,8.08,1415,672,1
10373,8.57,1738,1073,1
10401,8.53,1736,1440,1
10429,8.45,1306,1641,1
10457,8.91,534,1574,1
10485,8.41,-317,1201,1
10513,8.96,-999,586,1
10541,9.04,-1357,-121,1
10569,8.89,-1367,-746,1
10597,9.44,-1119,-1148,1
10625,9.08,-762,-1267,1
10653,9.55,-440,-1132,1
10681,9.62,-246,-838,1
10709,9.45,-199,-502,1
10737,9.93,-261,-224,1
10765,9.64,-370,-56,1
10793,10.12,-471,-2,1
10821,10.08,-527,-30,1
10849,10.00,-508,-92,1
10877,10.55,-345,-136,1
10905,10.12,74,-105,1
10933,10.65,731,53,1
10961,10.64,1369,367,1
10989,10.56,1778,788,1
11017,10.96,1935,1210,1
11045,10.48,1797,1513,1
11073,11.03,1265,1599,1
11101,10.91,431,1403,1
11129,11.03,-432,922,1
11157,11.37,-1077,241,1
11185,10.96,-1371,-482,1
11213,11.58,-1320,-1078,1
11241,11.26,-1040,-1421,1
11269,11.50,-688,-1474,1
11297,11.74,-401,-1287,1
11325,11.48,-254,-965,1
11353,12.04,-254,-628,1
11381,11.65,-353,-367,1
11409,12.11,-478,-224,1
11437,12.00,-573,-191,1
11465,11.93,-609,-225,1
11493,12.55,-586,-277,1
11521,12.07,-515,-307,1
11549,12.68,-392,-291,1
11577,12.29,-153,-218,1
11605,12.71,307,-68,1
11633,12.75,954,185,1
11661,12.66,1549,553,1
11689,13.13,1911,984,1
11717,12.68,2029,1381,1
11745,13.28,1856,1639,1
11773,13.08,1294,1676,1
11801,13.27,439,1434,1
11829,13.44,-431,917,1
11857,13.26,-1068,213,1
11885,13.74,-1337,-518,1
11913,13.34,-1250,-1105,1
11941,13.81,-938,-1427,1
11969,13.64,-575,-1453,1
11997,13.84,-300,-1241,1
12025,14.11,-177,-906,1
12053,13.88,-198,-570,1
12081,14.52,-310,-322,1
12109,14.04,-444,-196,1
12137,14.57,-546,-179,1
12165,14.36,-587,-227,1
12193,14.52,-568,-288,1
12221,14.84,-506,-323,1
12249,14.52,-422,-313,1
12277,15.18,-331,-258,1
12305,14.74,-220,-169,1
12333,15.32,-31,-54,1
12361,15.11,344,96,1
12389,15.47,916,314,1
12417,15.49,1493,622,1
12445,15.39,1882,996,1
12473,15.92,1984,1355,1
12501,15.55,1714,1588,1
12529,16.20,1082,1596,1
12557,15.89,259,1322,1
12585,16.30,-517,789,1
12613,16.39,-1054,105,1
12641,16.23,-1262,-572,1
12669,16.80,-1163,-1092,1
12697,16.34,-868,-1356,1
12725,16.97,-524,-1349,1
12753,16.52,-250,-1128,1
12781,17.02,-108,-799,1
12809,16.91,-99,-471,1
12837,17.18,-183,-223,1
12865,17.40,-305,-91,1
12893,17.16,-415,-67,1
12921,17.76,-479,-113,1
12949,17.26,-488,-185,1
12977,17.98,-447,-240,1
13005,17.62,-373,-255,1
13033,18.16,-286,-225,1
13061,18.07,-196,-156,1
13089,18.25,-66,-62,1
13117,18.50,189,57,1
13145,18.32,643,222,1
13173,18.80,1221,465,1
13201,18.36,1712,791,1
13229,19.11,1917,1147,1
13257,18.59,1706,1425,1
13285,19.39,1113,1503,1
13313,18.99,327,1302,1
13341,19.41,-419,832,1
13369,19.26,-946,194,1
13397,19.50,-1168,-456,1
13425,19.75,-1102,-970,1
13453,19.59,-839,-1248,1
13481,19.92,-506,-1267,1
13509,19.74,-222,-1074,1
13537,20.27,-60,-765,1
13565,19.92,-34,-444,1
13593,20.60,-108,-194,1
13621,20.07,-226,-54,1
13649,20.65,-334,-22,1
13677,20.32,-400,-65,1
13705,20.83,-416,-136,1
13733,20.73,-390,-197,1
13761,21.12,-337,-223,1
13789,21.02,-263,-208,1
13817,21.14,-136,-153,1
13845,21.30,117,-56,1
13873,21.28,564,100,1
13901,21.64,1142,344,1
13929,21.43,1623,677,1
13957,21.89,1775,1038,1
13985,21.61,1507,1310,1
14013,22.27,908,1371,1
14041,21.78,179,1157,1
14069,22.49,-475,697,1
14097,22.10,-916,99,1
14125,22.75,-1086,-488,1
14153,22.26,-1010,-934,1
14181,23.02,-772,-1161,1
14209,22.43,-479,-1156,1
14237,23.21,-228,-968,1
14265,22.79,-81,-683,1
14293,23.30,-49,-392,1
14321,23.06,-106,-164,1
14349,23.56,-207,-35,1
14377,23.40,-306,-2,1
14405,23.80,-372,-37,1
14433,23.69,-394,-101,1
14461,24.09,-375,-159,1
14489,24.02,-326,-187,1
14517,24.36,-262,-177,1
14545,24.23,-185,-133,1
14573,24.67,-57,-61,1
14601,24.46,200,41,1
14629,24.87,650,196,1
14657,24.76,1213,434,1
14685,25.11,1688,756,1
14713,25.02,1877,1105,1
14741,25.44,1657,1375,1
14769,25.35,1072,1446,1
14797,25.67,321,1244,1
14825,25.60,-380,786,1
14853,25.93,-875,172,1
14881,25.83,-1097,-449,1
14909,26.37,-1058,-941,1
14937,26.04,-835,-1213,1
14965,26.57,-537,-1243,1
14993,26.37,-269,-1074,1
15021,26.85,-102,-790,1
15049,26.57,-55,-486,1
15077,27.27,-107,-239,1
15105,26.91,-214,-90,1
15133,27.62,-329,-44,1
15161,27.16,-417,-75,1
15189,27.87,-461,-145,1
15217,27.52,-461,-214,1
15245,28.24,-423,-256,1
15273,27.94,-357,-258,1
15301,28.57,-277,-219,1
15329,28.19,-183,-147,1
15357,28.91,-32,-52,1
15385,28.43,261,72,1
15413,29.11,738,250,1
15441,28.87,1284,507,1
15469,29.27,1709,836,1
15497,29.15,1858,1174,1
15525,29.48,1625,1418,1
15553,29.52,1038,1460,1
15581,29.72,279,1235,1
15609,30.08,-431,760,1
15637,29.84,-931,137,1
15665,30.47,-1146,-488,1
15693,30.09,-1093,-978,1
15721,30.85,-853,-1242,1
15749,30.38,-540,-1260,1
15777,31.13,-265,-1076,1
15805,30.70,-99,-779,1
15833,31.28,-59,-466,1
15861,31.06,-118,-216,1
15889,31.51,-232,-70,1
15917,31.43,-353,-30,1
15945,31.51,-444,-69,1
15973,31.75,-486,-144,1
16001,31.56,-481,-217,1
16029,32.39,-440,-259,1
16057,32.04,-374,-258,1
16085,32.85,-297,-217,1
16113,32.37,-205,-145,1
16141,33.15,-54,-49,1
16169,32.90,246,75,1
16197,33.28,733,255,1
16225,33.48,1280,515,1
16253,33.63,1696,847,1
16281,34.09,1871,1188,1
16309,33.82,1723,1442,1
16337,34.61,1213,1510,1
16365,34.18,459,1324,1
16393,34.86,-312,882,1
16421,34.50,-905,262,1
16449,34.89,-1208,-398,1
16477,35.08,-1212,-949,1
16505,35.08,-992,-1282,1
16533,35.76,-663,-1355,1
16561,35.40,-348,-1200,1
16589,36.14,-134,-901,1
16617,35.84,-60,-562,1
16645,36.37,-110,-273,1
16673,36.46,-234,-91,1
16701,36.56,-373,-29,1
16729,36.99,-481,-60,1
16757,36.66,-539,-141,1
16785,37.37,-542,-226,1
16813,37.27,-502,-281,1
16841,37.87,-433,-290,1
16869,37.99,-348,-252,1
16897,37.91,-224,-175,1
16925,38.68,17,-62,1
16953,38.22,462,103,1
16981,38.85,1049,350,1
17009,38.85,1563,686,1
17037,38.96,1858,1065,1
17065,39.52,1877,1394,1
17093,39.20,1547,1572,1
17121,40.01,888,1516,1
17149,39.93,72,1190,1
17177,40.19,-672,629,1
17205,40.70,-1169,-54,1
17233,40.45,-1338,-707,1
17261,41.19,-1209,-1187,1
17289,41.02,-891,-1406,1
17317,41.23,-524,-1358,1
17345,41.88,-228,-1103,1
17373,41.59,-71,-747,1
17401,42.28,-59,-400,1
17429,42.28,-154,-143,1
17457,42.25,-298,-12,1
17485,42.99,-437,0,1
17513,42.79,-532,-67,1
17541,43.56,-566,-164,1
17569,43.83,-542,-247,1
17597,43.65,-463,-285,1
17625,44.42,-303,-264,1
17653,44.27,12,-171,1
17681,44.46,527,12,1
17709,45.05,1132,303,1
17737,44.69,1619,687,1
17765,45.24,1841,1092,1
17793,45.69,1699,1410,1
17821,45.54,1170,1528,1
17849,46.29,397,1368,1
17877,46.40,-386,930,1
17905,46.44,-977,302,1
17933,47.22,-1263,-367,1
17961,46.90,-1237,-921,1
17989,47.19,-980,-1247,1
18017,47.89,-621,-1303,1
18045,47.74,-289,-1125,1
18073,47.99,-75,-805,1
18101,48.45,-10,-453,1
18129,48.26,-67,-163,1
18157,49.07,-188,11,1
18185,49.52,-317,64,1
18213,49.39,-412,25,1
18241,50.17,-445,-58,1
18269,50.25,-361,-136,1
18297,50.08,-69,-156,1
18325,50.79,458,-64,1
18353,50.90,1080,171,1
18381,50.73,1575,536,1
18409,51.62,1791,946,1
18437,51.45,1628,1279,1
18465,51.51,1077,1408,1
18493,52.37,289,1253,1
18521,52.44,-496,815,1
18549,52.44,-1077,187,1
18577,53.14,-1343,-476,1
18605,53.24,-1297,-1018,1
18633,53.18,-1024,-1323,1
18661,54.03,-658,-1357,1
18689,54.04,-328,-1159,1
18717,53.85,-117,-824,1
18745,54.58,-52,-463,1
18773,54.97,-105,-168,1
18801,54.92,-221,9,1
18829,55.63,-337,66,1
18857,56.04,-380,36,1
18885,55.75,-238,-20,1
18913,56.22,187,-25,1
18941,56.68,817,99,1
18969,56.30,1396,380,1
18997,56.64,1750,768,1
19025,57.37,1869,1153,1
19053,57.26,1721,1423,1
19081,57.42,1204,1488,1
