Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.13,81,5,0
8465,-0.21,322,36,0
8492,-0.10,606,122,0
8519,-0.21,801,264,0
8546,-0.13,898,428,0
8573,-0.16,924,567,0
8600,-0.15,945,651,0
8627,-0.21,1091,685,0
8654,-0.11,1465,715,0
8681,-0.22,1969,804,0
8708,-0.08,2372,980,0
8735,-0.18,2547,1203,0
8762,-0.09,2403,1381,0
8789,-0.15,1817,1403,0
8816,-0.07,869,1169,0
8843,-0.19,-164,643,0
8870,-0.14,-1003,-110,0
8897,-0.22,-1458,-939,0
8924,-0.19,-1476,-1650,0
8951,-0.20,-1150,-2084,0
8978,-0.13,-676,-2168,0
9005,-0.19,-259,-1938,0
9032,-0.14,-33,-1514,0
9059,-0.18,-30,-1051,0
9086,-0.12,-197,-682,0
9113,-0.13,-443,-478,0
9140,-0.14,-679,-442,0
9167,-0.15,-845,-524,0
9194,-0.09,-914,-652,0
9221,-0.20,-845,-756,0
9248,-0.24,-530,-772,0
9275,-0.15,62,-644,0
9302,-0.19,744,-338,0
9329,-0.20,1265,117,0
9356,-0.17,1530,625,0
9383,-0.19,1510,1057,0
9410,-0.15,1129,1300,0
9437,-0.12,378,1272,0
9464,-0.25,-557,938,0
9491,-0.13,-1383,344,0
9518,-0.18,-1865,-377,0
9545,-0.14,-1916,-1041,0
9572,-0.13,-1611,-1476,0
9599,-0.14,-1135,-1589,0
9626,-0.18,-692,-1395,0
9653,-0.16,-419,-997,0
9680,-0.24,-357,-542,0
9707,-0.22,-462,-162,0
9734,-0.17,-644,66,0
9761,-0.15,-820,134,0
9788,-0.07,-937,84,0
9815,-0.14,-973,-19,0
9842,-0.12,-902,-112,0
9869,-0.14,-635,-138,0
9896,-0.19,-86,-46,0
9923,-0.19,631,206,0
9950,-0.04,1253,614,0
9977,-0.19,1622,1102,0
10004,-0.12,1743,1549,0
10031,-0.07,1579,1843,0
10058,-0.10,1015,1900,0
10085,-0.11,127,1664,0
10112,-0.15,-795,1136,0
10139,-0.11,-1456,406,0
10166,-0.18,-1684,-353,0
10193,-0.20,-1489,-951,0
10220,-0.12,-1041,-1249,0
10247,-0.19,-567,-1214,0
10274,-0.14,-241,-922,0
10301,-0.20,-131,-516,0
10328,-0.15,-206,-143,0
10355,-0.15,-382,98,0
10382,-0.12,-569,178,0
10409,-0.16,-703,128,0
10436,-0.18,-758,9,0
10463,-0.26,-726,-111,0
10490,-0.19,-568,-181,0
10517,-0.16,-171,-156,0
10544,-0.12,478,7,0
10571,-0.11,1158,329,0
10598,-0.22,1640,771,0
10625,-0.18,1864,1229,0
10652,-0.17,1812,1584,0
10679,-0.20,1405,1736,0
10706,-0.13,639,1615,0
10733,-0.20,-287,1200,0
10760,-0.14,-1081,541,0
10787,-0.19,-1510,-221,0
10814,-0.08,-1501,-903,0
10841,-0.20,-1156,-1339,0
10868,-0.21,-678,-1447,0
10895,-0.18,-268,-1257,0
10922,-0.18,-45,-883,0
10949,-0.14,-27,-475,0
10976,-0.17,-154,-154,0
11003,-0.16,-337,13,0
11030,-0.15,-497,31,0
11057,-0.15,-591,-51,0
11084,-0.05,-605,-169,0
11111,-0.14,-537,-264,0
11138,-0.10,-350,-295,0
11165,-0.18,71,-229,0
11192,-0.21,729,-30,0
11219,-0.13,1376,315,0
11246,-0.14,1796,759,0
11273,-0.18,1961,1196,0
11300,-0.08,1853,1512,0
11327,-0.14,1379,1615,0
11354,-0.09,563,1442,0
11381,-0.19,-369,981,0
11408,-0.14,-1122,296,0
11435,-0.13,-1485,-462,0
11462,-0.16,-1416,-1110,0
11489,-0.18,-1042,-1491,0
11516,-0.16,-569,-1543,0
11543,-0.14,-188,-1309,0
11570,-0.20,-6,-916,0
11597,-0.17,-25,-511,0
11624,-0.10,-180,-210,0
11651,-0.21,-378,-66,0
11678,-0.24,-540,-68,0
11705,-0.19,-628,-162,0
11732,-0.22,-636,-279,0
11759,-0.16,-569,-365,0
11786,-0.15,-385,-383,0
11813,-0.27,22,-304,0
11840,-0.15,657,-97,0
11867,-0.22,1306,250,0
11894,-0.21,1756,698,0
11921,-0.14,1930,1146,0
11948,-0.23,1755,1473,0
11975,-0.24,1171,1571,0
12002,-0.17,302,1370,0
12029,-0.18,-576,872,0
12056,-0.08,-1207,174,0
12083,-0.30,-1443,-552,0
12110,-0.21,-1291,-1127,0
12137,-0.18,-891,-1418,0
12164,-0.09,-437,-1393,0
12191,-0.23,-95,-1116,0
12218,-0.23,55,-716,0
12245,-0.27,24,-331,0
12272,-0.19,-122,-61,0
12299,-0.18,-305,55,0
12326,-0.13,-456,36,0
12353,-0.23,-539,-63,0
12380,-0.10,-545,-182,0
12407,-0.19,-473,-267,0
12434,-0.13,-275,-285,0
12461,-0.18,149,-205,0
12488,-0.18,788,4,0
12515,-0.22,1410,352,0
12542,-0.11,1815,790,0
