Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8441,-0.03,126,8,0
8469,-0.13,513,57,0
8497,-0.05,995,196,0
8525,-0.09,1339,431,0
8553,-0.01,1487,706,0
8581,-0.05,1471,936,0
8609,0.01,1350,1055,0
8637,-0.01,1184,1040,0
8665,-0.06,1013,910,0
8693,-0.03,862,704,0
8721,0.09,736,470,0
8749,0.02,629,244,0
8777,-0.06,531,47,0
8805,-0.06,437,-112,0
8833,-0.00,347,-240,0
8861,-0.03,265,-340,0
8889,0.03,189,-420,0
8917,0.02,120,-483,0
8945,-0.06,57,-533,0
8973,0.00,0,-571,0
9001,-0.03,-49,-598,0
9029,0.02,-94,-615,0
9057,0.03,-135,-623,0
9085,0.00,-174,-623,0
9113,-0.06,-207,-616,0
9141,0.01,-235,-604,0
9169,-0.01,-259,-586,0
9197,0.01,-280,-564,0
9225,-0.02,-299,-537,0
9253,-0.04,-317,-508,0
9281,-0.09,-332,-477,0
9309,-0.04,-340,-444,0
9337,-0.01,-344,-409,0
9365,-0.05,-346,-372,0
9393,-0.02,-351,-333,0
9421,0.01,-363,-295,0
9449,-0.05,-382,-261,0
9477,-0.10,-401,-231,0
9505,-0.03,-410,-207,0
9533,-0.05,-406,-183,0
9561,-0.06,-393,-157,0
9589,0.03,-380,-126,0
9617,-0.05,-369,-90,0
9645,-0.09,-359,-53,0
9673,-0.10,-350,-17,0
9701,0.01,-344,15,0
9729,-0.05,-342,43,0
9757,-0.05,-341,67,0
9785,0.03,-337,86,0
9813,-0.05,-331,102,0
9841,-0.08,-322,116,0
9869,0.01,-310,130,0
9897,-0.04,-296,145,0
9925,-0.01,-279,160,0
9953,-0.02,-261,176,0
9981,-0.14,-245,193,0
10009,-0.04,-232,208,0
10037,-0.08,-220,220,0
10065,-0.05,-208,230,0
10093,-0.09,-197,237,0
10121,-0.05,-192,241,0
10149,-0.09,-190,241,0
10177,-0.06,-185,238,0
10205,-0.04,-172,233,0
10233,0.01,-152,229,0
10261,-0.03,-130,227,0
10289,-0.01,-110,230,0
10317,-0.08,-97,233,0
10345,0.01,-94,236,0
10373,0.02,-99,233,0
10401,-0.04,-107,224,0
10429,-0.05,-109,208,0
10457,-0.00,-102,191,0
10485,0.07,-87,175,0
10513,0.05,-74,163,0
10541,-0.00,-63,157,0
10569,-0.03,-55,152,0
10597,-0.04,-46,149,0
10625,0.02,-41,144,0
10653,-0.04,-43,138,0
10681,-0.04,-50,128,0
10709,-0.04,-58,114,0
10737,-0.04,-60,98,0
10765,-0.10,-57,81,0
10793,-0.05,-48,67,0
10821,-0.02,-35,58,0
10849,-0.10,-21,53,0
10877,0.01,-7,52,0
10905,-0.04,7,55,0
10933,0.02,20,58,0
10961,-0.06,28,61,0
10989,-0.00,29,61,0
11017,0.02,31,58,0
11045,-0.02,39,53,0
11073,-0.01,50,47,0
11101,-0.06,56,42,0
11129,-0.09,51,37,0
11157,-0.10,36,29,0
11185,-0.06,18,17,0
11213,0.05,3,0,0
11241,-0.07,-5,-19,0
11269,-0.08,-6,-37,0
11297,0.02,-2,-50,0
11325,-0.08,2,-58,0
11353,0.04,5,-60,0
11381,-0.08,7,-60,0
11409,-0.06,6,-58,0
11437,-0.05,5,-57,0
11465,-0.04,4,-56,0
11493,-0.04,2,-57,0
11521,0.00,0,-58,0
11549,0.03,0,-59,0
11577,-0.08,3,-60,0
11605,-0.02,12,-60,0
11633,0.03,20,-56,0
11661,-0.01,23,-51,0
11689,-0.04,20,-46,0
11717,-0.02,13,-43,0
11745,0.01,6,-43,0
11773,-0.08,4,-45,0
11801,-0.02,8,-48,0
11829,0.02,14,-50,0
11857,0.01,22,-48,0
11885,-0.04,30,-43,0
11913,-0.03,35,-36,0
11941,-0.05,32,-30,0
11969,-0.03,22,-26,0
11997,-0.03,7,-26,0
12025,0.03,-5,-32,0
12053,0.07,-12,-40,0
12081,-0.03,-12,-49,0
12109,0.02,-8,-54,0
12137,-0.06,-5,-55,0
12165,-0.05,-1,-52,0
12193,-0.07,0,-46,0
12221,-0.05,0,-41,0
12249,0.02,-2,-36,0
12277,-0.04,-3,-32,0
12305,-0.12,-2,-30,0
12333,-0.01,-1,-28,0
12361,-0.05,-4,-26,0
12389,-0.06,-7,-24,0
12417,-0.04,-11,-24,0
12445,-0.04,-13,-24,0
12473,-0.03,-11,-24,0
12501,0.08,-5,-23,0
12529,-0.05,2,-20,0
12557,-0.00,11,-15,0
12585,-0.05,16,-7,0
12613,0.02,14,0,0
12641,0.02,11,4,0
12669,-0.06,8,5,0
12697,-0.05,9,5,0
12725,-0.08,15,4,0
12753,0.02,23,5,0
12781,-0.03,27,8,0
12809,-0.09,26,11,0
12837,-0.14,22,13,0
12865,-0.05,14,13,0
12893,-0.03,2,10,0
12921,-0.13,-8,3,0
12949,-0.03,-15,-4,0
12977,-0.09,-14,-12,0
13005,-0.06,-10,-17,0
13033,-0.03,-10,-18,0
13061,-0.03,-13,-17,0
13089,-0.03,-15,-16,0
13117,-0.02,-13,-14,0
13145,0.02,-10,-12,0
13173,-0.07,-7,-10,0
13201,-0.04,0,-6,0
13229,-0.06,5,-2,0
13257,-0.01,9,3,0
13285,-0.00,8,7,0
13313,-0.06,5,10,0
13341,-0.05,3,11,0
13369,-0.05,1,10,0
13397,-0.07,0,8,0
13425,-0.00,-1,6,0
13453,-0.07,-5,4,0
13481,-0.01,-9,2,0
13509,-0.01,-10,0,0
13537,0.02,-6,-2,0
13565,-0.06,1,-2,0
13593,-0.01,7,0,0
13621,-0.03,12,4,0
13649,-0.02,17,9,0
13677,0.04,24,14,0
13705,-0.09,32,19,0
13733,-0.06,35,24,0
13761,-0.11,30,27,0
13789,-0.09,17,27,0
13817,-0.08,1,22,0
13845,-0.06,-14,12,0
13873,-0.05,-25,0,0
13901,0.06,-27,-13,0
13929,-0.05,-23,-22,0
13957,-0.07,-14,-26,0
13985,-0.05,-4,-23,0
14013,-0.08,1,-17,0
14041,-0.09,0,-9,0
14069,0.01,-2,-3,0
14097,-0.02,-4,0,0
14125,-0.02,-9,1,0
14153,-0.05,-12,0,0
14181,0.01,-11,-2,0
14209,-0.04,-4,-4,0
14237,-0.03,3,-3,0
14265,0.02,6,0,0
14293,-0.06,1,3,0
14321,-0.01,-6,5,0
14349,0.02,-14,4,0
14377,-0.02,-19,0,0
14405,-0.03,-18,-4,0
14433,-0.04,-12,-7,0
14461,0.03,-5,-8,0
14489,0.03,0,-5,0
14517,0.07,7,0,0
14545,-0.03,22,6,0
14573,-0.03,40,14,0
14601,0.01,52,25,0
14629,-0.00,53,35,0
14657,-0.02,42,42,0
14685,0.09,23,41,0
14713,0.04,1,33,0
14741,0.10,-17,17,0
14769,0.12,-27,0,0
14797,0.04,-27,-16,0
14825,-0.04,-18,-27,0
14853,0.03,-6,-30,0
14881,0.00,2,-26,0
14909,0.02,4,-17,0
14937,0.06,1,-9,0
14965,-0.00,-7,-4,0
14993,0.00,-18,-3,0
15021,0.04,-23,-7,0
15049,-0.05,-18,-11,0
15077,0.01,-8,-14,0
15105,0.00,0,-12,0
15133,0.04,5,-8,0
15161,-0.06,4,-1,0
15189,-0.01,-1,2,0
15217,0.01,-6,4,0
15245,-0.05,-10,3,0
15273,0.05,-10,0,0
15301,0.02,-8,-2,0
15329,0.00,-2,-3,0
15357,0.02,6,-1,0
15385,-0.02,12,1,0
15413,-0.02,14,6,0
15441,0.01,13,11,0
15469,0.00,17,14,0
15497,0.00,30,16,0
15525,-0.12,55,21,0
15553,-0.15,87,30,0
15581,-0.16,110,46,0
15609,-0.18,109,62,0
15637,-0.07,80,72,0
15665,-0.12,37,68,0
15693,-0.16,-4,47,0
15721,-0.11,-30,16,0
15749,-0.01,-43,-17,0
15777,-0.01,-51,-46,0
15805,0.05,-58,-65,0
15833,0.05,-64,-76,0
15861,-0.06,-63,-80,0
15889,0.08,-52,-77,0
15917,0.18,-36,-69,0
15945,0.05,-24,-56,0
15973,0.12,-20,-40,0
16001,0.07,-22,-26,0
16029,0.11,-22,-16,0
16057,0.11,-11,-9,0
16085,0.09,6,-2,0
16113,0.11,24,5,0
16141,0.04,34,17,0
16169,0.07,38,28,0
16197,-0.02,38,36,0
16225,0.15,35,41,0
16253,-0.01,28,40,0
16281,0.03,19,36,0
16309,0.07,13,28,0
16337,0.06,8,19,0
16365,-0.01,0,10,0
16393,-0.03,-9,2,0
16421,-0.04,-21,-5,0
16449,-0.04,-30,-14,0
16477,-0.01,-16,-20,0
16505,-0.07,31,-20,0
16533,-0.06,93,-5,0
16561,-0.07,132,23,0
16589,-0.09,121,57,0
16617,-0.09,67,79,0
16645,-0.07,-2,75,0
16673,-0.04,-58,45,0
16701,-0.00,-92,0,0
16729,-0.04,-105,-48,0
16757,-0.05,-101,-85,0
16785,-0.02,-92,-104,0
16813,0.02,-116,-109,0
16841,-0.05,-236,-114,0
16869,0.01,-508,-150,0
16897,-0.03,-891,-250,0
16925,-0.03,-1235,-427,0
16953,-0.04,-1429,-650,0
16981,-0.03,-1470,-857,0
17009,-0.01,-1393,-985,0
17037,-0.10,-1176,-997,0
17065,-0.04,-747,-872,0
17093,0.00,-152,-598,0
17121,0.01,439,-187,0
17149,0.09,894,308,0
17177,0.12,1180,801,0
17205,-0.01,1364,1210,0
17233,0.03,1567,1495,0
17261,0.12,1834,1670,0
17289,0.06,2018,1771,0
17317,0.19,1932,1806,0
17345,0.17,1555,1735,0
17373,0.24,1017,1509,0
17401,0.26,476,1122,0
17429,0.26,47,622,0
17457,0.31,-239,97,0
17485,0.22,-447,-369,0
17513,0.30,-684,-733,0
17541,0.33,-984,-1003,0
17569,0.42,-1228,-1208,0
17597,0.43,-1237,-1355,0
17625,0.43,-923,-1403,0
17653,0.48,-330,-1289,0
17681,0.61,417,-972,0
17709,0.58,1139,-469,0
17737,0.59,1654,141,0
17765,0.58,1894,736,0
17793,0.48,1909,1195,0
17821,0.49,1782,1444,0
17849,0.48,1589,1475,0
17877,0.55,1380,1327,0
17905,0.41,1182,1066,0
17933,0.34,1008,758,0
17961,0.43,856,453,0
17989,0.24,724,182,0
18017,0.30,606,-42,0
18045,0.16,498,-219,0
18073,0.19,398,-357,0
18101,0.02,305,-463,0
18129,0.03,218,-545,0
18157,0.06,137,-610,0
18185,0.12,62,-660,0
18213,0.09,-6,-699,0
18241,0.11,-69,-727,0
18269,0.00,-127,-745,0
18297,0.08,-179,-753,0
18325,0.05,-226,-753,0
18353,0.13,-268,-745,0
18381,0.07,-306,-730,0
18409,0.15,-339,-709,0
18437,0.03,-368,-683,0
18465,0.08,-393,-651,0
18493,0.04,-415,-616,0
18521,0.04,-433,-578,0
18549,0.07,-448,-538,0
18577,0.10,-460,-495,0
18605,0.07,-469,-451,0
18633,0.09,-476,-406,0
18661,0.13,-481,-361,0
18689,0.04,-483,-316,0
18717,0.16,-483,-272,0
18745,0.05,-481,-228,0
18773,-0.03,-478,-185,0
18801,0.03,-473,-143,0
18829,0.03,-467,-102,0
18857,-0.03,-459,-63,0
18885,0.08,-451,-26,0
18913,-0.02,-441,9,0
18941,-0.07,-431,42,0
18969,0.01,-419,74,0
18997,0.02,-408,103,0
19025,0.01,-395,130,0
19053,0.02,-382,155,0
19081,0.12,-369,178,0
19109,0.05,-356,199,0
19137,0.06,-342,217,0
19165,-0.03,-328,233,0
19193,0.05,-315,248,0
19221,0.08,-301,260,0
19249,0.02,-287,270,0
19277,0.01,-273,278,0
19305,-0.03,-260,285,0
19333,0.06,-246,290,0
19361,-0.03,-233,293,0
19389,-0.02,-220,295,0
19417,0.12,-207,295,0
19445,0.05,-195,294,0
19473,0.00,-183,292,0
19501,0.05,-171,288,0
19529,0.08,-160,284,0
19557,0.08,-149,278,0
19585,-0.01,-138,271,0
19613,0.02,-128,264,0
19641,0.01,-118,256,0
19669,0.06,-108,247,0
19697,0.01,-99,238,0
19725,0.05,-91,228,0
19753,-0.04,-82,218,0
19781,0.00,-74,208,0
19809,-0.07,-67,197,0
19837,-0.05,-60,186,0
19865,-0.11,-53,174,0
19893,0.02,-46,163,0
19921,-0.05,-40,152,0
19949,-0.02,-35,141,0
19977,0.02,-29,130,0
20005,-0.01,-25,119,0
20033,-0.06,-20,108,0
20061,0.00,-16,97,0
20089,0.03,-12,86,0
20117,-0.01,-8,76,0
20145,0.01,-115,59,0
20173,0.00,-603,-3,0
20201,0.11,-1491,-194,0
20229,-0.02,-2380,-576,0
20257,0.04,-2941,-1113,0
20285,0.12,-3132,-1663,0
20313,0.04,-3039,-2067,0
20341,-0.03,-2778,-2225,0
20369,-0.01,-2447,-2122,0
20397,-0.08,-2109,-1811,0
20425,-0.04,-1796,-1375,0
20453,-0.03,-1519,-897,0
20481,0.04,-1275,-441,0
20509,0.01,-1060,-42,0
