Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8441,-0.10,117,7,0
8469,-0.19,477,53,0
8497,-0.08,926,182,0
8525,-0.08,1249,401,0
8553,-0.10,1395,658,0
8581,-0.10,1392,875,0
8609,-0.08,1297,992,0
8637,-0.08,1176,989,0
8665,-0.15,1098,886,0
8693,-0.12,1097,732,0
8721,-0.10,1139,579,0
8749,-0.10,1139,456,0
8777,-0.10,1031,359,0
8805,-0.09,809,257,0
8833,-0.13,520,115,0
8861,-0.10,233,-79,0
8889,-0.06,5,-312,0
8917,-0.09,-137,-547,0
8945,-0.10,-197,-743,0
8973,-0.08,-198,-870,0
9001,-0.04,-176,-921,0
9029,-0.08,-166,-906,0
9057,-0.16,-187,-850,0
9085,-0.10,-237,-783,0
9113,-0.04,-301,-726,0
9141,-0.07,-367,-689,0
9169,-0.05,-423,-671,0
9197,-0.03,-462,-662,0
9225,-0.08,-481,-652,0
9253,-0.10,-482,-632,0
9281,-0.06,-470,-597,0
9309,-0.13,-450,-546,0
9337,-0.02,-431,-483,0
9365,-0.02,-420,-414,0
9393,-0.08,-419,-346,0
9421,-0.11,-421,-284,0
9449,-0.08,-421,-232,0
9477,-0.08,-420,-187,0
9505,-0.04,-419,-148,0
9533,-0.03,-412,-113,0
9561,-0.11,-382,-79,0
9589,-0.08,-297,-37,0
9617,-0.11,-147,24,0
9645,-0.08,18,116,0
9673,-0.03,122,233,0
9701,-0.07,111,347,0
9729,-0.08,-10,421,0
9757,-0.07,-198,424,0
9785,-0.07,-388,349,0
9813,-0.08,-525,218,0
9841,-0.09,-579,69,0
9869,-0.02,-550,-53,0
9897,-0.05,-461,-117,0
9925,0.00,-355,-114,0
9953,-0.03,-270,-54,0
9981,-0.13,-232,34,0
10009,-0.12,-241,121,0
10037,-0.02,-281,180,0
10065,-0.01,-329,203,0
10093,-0.06,-364,192,0
10121,-0.06,-372,163,0
10149,-0.10,-351,132,0
10177,-0.13,-310,116,0
10205,-0.07,-261,119,0
10233,-0.04,-216,141,0
10261,-0.06,-182,173,0
10289,-0.02,-158,208,0
10317,-0.09,-142,236,0
10345,0.00,-132,255,0
10373,0.01,-108,263,0
10401,-0.07,-33,269,0
10429,-0.10,118,289,0
10457,-0.06,318,338,0
10485,-0.04,481,423,0
10513,-0.07,531,523,0
10541,-0.05,444,598,0
10569,-0.06,257,605,0
10597,-0.04,41,524,0
10625,-0.00,-138,369,0
10653,-0.05,-247,176,0
10681,-0.05,-281,-7,0
10709,-0.12,-254,-145,0
10737,-0.05,-193,-218,0
10765,-0.10,-130,-228,0
10793,-0.07,-94,-194,0
10821,-0.03,-94,-141,0
10849,-0.07,-122,-95,0
10877,-0.01,-161,-70,0
10905,0.01,-196,-70,0
10933,0.00,-216,-87,0
10961,-0.04,-216,-110,0
10989,-0.03,-198,-126,0
11017,-0.02,-166,-129,0
11045,-0.02,-127,-116,0
11073,-0.02,-92,-90,0
11101,-0.10,-65,-56,0
11129,-0.06,-48,-22,0
11157,-0.03,-37,6,0
11185,-0.07,-28,26,0
11213,-0.02,-17,38,0
11241,-0.11,4,46,0
11269,-0.02,70,55,0
11297,-0.04,215,79,0
11325,-0.01,423,135,0
11353,-0.08,612,230,0
11381,0.01,687,348,0
11409,-0.08,605,446,0
11437,-0.03,400,475,0
11465,-0.06,151,407,0
11493,-0.04,-63,251,0
11521,-0.06,-199,47,0
11549,-0.08,-247,-153,0
11577,0.02,-226,-305,0
11605,-0.11,-171,-386,0
11633,0.00,-115,-397,0
11661,0.05,-81,-358,0
11689,-0.08,-81,-296,0
11717,-0.03,-111,-239,0
11745,-0.11,-156,-202,0
11773,-0.04,-195,-190,0
11801,-0.06,-216,-197,0
11829,-0.02,-215,-209,0
11857,-0.04,-199,-216,0
11885,-0.02,-171,-209,0
11913,-0.04,-136,-187,0
11941,-0.07,-102,-153,0
11969,0.02,-74,-111,0
11997,-0.09,-53,-69,0
12025,-0.01,-38,-31,0
12053,-0.09,-27,-1,0
12081,-0.00,-24,20,0
12109,0.04,-28,33,0
12137,-0.09,-35,38,0
12165,-0.05,-39,36,0
12193,-0.05,-33,32,0
12221,-0.06,12,31,0
12249,-0.03,138,46,0
12277,-0.03,350,94,0
12305,-0.02,581,189,0
12333,-0.11,720,322,0
12361,-0.07,694,452,0
12389,-0.04,511,525,0
