Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8924,-0.29,122,7,0
8951,-0.31,499,56,0
8978,0.96,971,191,0
9005,0.52,1307,420,0
9032,0.86,1441,688,0
9059,0.66,1398,909,0
9086,1.17,1243,1015,0
9113,0.81,1047,983,0
9140,1.36,860,832,0
9167,1.24,701,610,0
9194,1.33,574,365,0
9221,1.65,473,137,0
9248,1.45,393,-52,0
9275,1.70,330,-197,0
9302,1.89,297,-298,0
9329,1.63,321,-358,0
9356,1.95,407,-375,0
9383,2.09,515,-346,0
9410,1.84,579,-282,0
9437,2.26,547,-208,0
9464,2.25,403,-161,0
9491,2.04,176,-173,0
9518,2.51,-80,-259,0
9545,2.22,-308,-407,0
9572,2.38,-466,-583,0
9599,2.74,-538,-746,0
9626,2.48,-531,-858,0
9653,2.73,-475,-898,0
9680,2.86,-407,-865,0
9707,2.63,-358,-776,0
9734,3.13,-344,-662,0
9761,3.13,-363,-549,0
9788,3.06,-403,-459,0
9815,3.41,-448,-399,0
9842,3.28,-484,-366,0
9869,3.37,-505,-348,0
9896,3.72,-513,-335,0
9923,3.42,-512,-316,0
9950,3.75,-503,-288,0
9977,4.06,-486,-250,0
10004,3.78,-452,-203,0
10031,4.29,-381,-145,0
10058,4.21,-259,-72,0
10085,4.23,-103,22,0
10112,4.68,36,140,0
10139,4.31,108,266,0
10166,4.69,85,375,0
10193,4.81,-24,434,0
10220,4.64,-184,426,0
10247,5.07,-348,351,0
10274,5.10,-474,229,0
10301,4.97,-538,93,0
10328,5.42,-532,-21,0
10355,5.24,-472,-89,0
10382,5.51,-382,-99,0
10409,5.71,-294,-57,0
10436,5.55,-232,18,0
10463,5.97,-205,103,0
10490,5.90,-208,175,0
10517,5.98,-232,220,0
10544,6.25,-262,234,0
10571,6.03,-284,223,0
10598,6.46,-289,198,0
10625,6.33,-278,173,0
10652,6.52,-257,155,0
10679,6.81,-231,150,0
10706,6.74,-202,156,0
10733,7.15,-165,171,0
10760,6.89,-103,193,0
10787,7.33,3,226,0
10814,7.32,145,276,0
10841,7.27,274,345,0
10868,7.66,334,424,0
10895,7.34,299,487,0
10922,7.87,183,505,0
10949,7.53,27,460,0
10976,8.17,-125,356,0
11003,7.78,-239,214,0
11030,8.38,-295,64,0
11057,8.23,-287,-59,0
11084,8.41,-226,-136,0
11111,8.51,-140,-156,0
11138,8.58,-62,-126,0
11165,8.73,-13,-66,0
11192,8.67,1,0,0
11219,9.14,-12,53,0
11246,8.92,-41,79,0
11273,9.35,-72,78,0
11300,9.05,-93,56,0
11327,9.50,-98,26,0
11354,9.38,-90,-2,0
11381,9.80,-77,-20,0
11408,9.97,-63,-28,0
11435,10.01,-45,-25,0
11462,10.40,-8,-15,0
11489,10.10,70,4,0
11516,10.62,193,41,0
11543,10.27,327,101,0
11570,10.92,415,178,0
11597,10.69,419,253,0
11624,11.07,332,298,0
11651,11.02,179,288,0
11678,11.30,5,214,0
11705,11.50,-143,88,0
11732,11.36,-235,-60,0
11759,11.77,-261,-198,0
11786,11.49,-225,-295,0
11813,11.90,-148,-334,0
11840,11.75,-63,-317,0
11867,12.04,0,-256,0
11894,12.14,27,-178,0
11921,12.26,20,-105,0
11948,12.64,-9,-56,0
11975,12.34,-47,-37,0
12002,12.79,-81,-44,0
12029,12.53,-105,-66,0
12056,13.02,-115,-93,0
12083,12.89,-110,-115,0
12110,13.12,-96,-125,0
12137,13.45,-77,-121,0
12164,13.32,-40,-105,0
12191,13.78,39,-76,0
12218,13.51,173,-28,0
12245,14.01,330,46,0
12272,13.79,450,143,0
12299,14.06,479,244,0
12326,14.19,403,316,0
12353,13.97,250,330,0
12380,14.54,69,271,0
12407,14.17,-94,152,0
12434,14.76,-206,0,0
12461,14.46,-251,-149,0
12488,14.82,-234,-261,0
12515,14.91,-171,-319,0
12542,14.85,-91,-316,0
12569,15.40,-21,-266,0
12596,15.06,17,-191,0
12623,15.72,21,-113,0
12650,15.56,-3,-54,0
12677,15.94,-44,-24,0
12704,16.18,-87,-23,0
12731,15.95,-123,-42,0
12758,16.65,-145,-72,0
12785,16.37,-155,-100,0
12812,16.92,-154,-119,0
12839,16.99,-142,-125,0
12866,16.93,-118,-118,0
12893,17.56,-68,-97,0
12920,17.27,31,-60,0
12947,17.85,187,0,0
12974,17.94,365,90,0
13001,17.87,500,205,0
13028,18.44,534,322,0
13055,17.96,450,405,0
13082,18.74,279,420,0
13109,18.75,75,354,0
13136,18.71,-109,218,0
13163,19.23,-237,45,0
13190,18.93,-293,-124,0
13217,19.54,-278,-254,0
13244,19.56,-216,-324,0
13271,19.53,-136,-328,0
13298,20.17,-70,-279,0
13325,19.73,-37,-203,0
13352,20.21,-41,-125,0
13379,20.38,-73,-68,0
13406,20.17,-114,-39,0
13433,20.79,-147,-38,0
13460,20.42,-166,-55,0
13487,20.84,-168,-76,0
13514,21.10,-158,-90,0
13541,20.75,-141,-93,0
13568,21.60,-125,-83,0
13595,21.60,-111,-64,0
13622,21.72,-90,-41,0
13649,22.23,-38,-14,0
13676,21.82,74,22,0
13703,22.33,249,82,0
13730,22.46,442,174,0
13757,22.23,580,292,0
13784,22.96,601,410,0
13811,22.71,496,487,0
13838,22.99,303,490,0
13865,23.38,79,405,0
13892,23.20,-119,246,0
13919,23.82,-250,52,0
13946,24.05,-295,-133,0
13973,23.75,-264,-270,0
