Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8921,-0.17,114,7,0
8948,-0.20,464,52,0
8975,-0.19,896,177,0
9002,-0.16,1198,388,0
9029,-0.23,1318,633,0
9056,-0.10,1291,835,0
9083,-0.14,1175,934,0
9110,-0.10,1024,913,0
9137,-0.15,872,790,0
9164,-0.08,737,603,0
9191,-0.21,624,394,0
9218,-0.15,530,193,0
9245,-0.17,463,22,0
9272,-0.16,444,-110,0
9299,-0.17,483,-195,0
9326,-0.18,561,-229,0
9353,-0.11,628,-217,0
9380,-0.05,632,-177,0
9407,-0.18,550,-140,0
9434,-0.18,387,-137,0
9461,-0.16,176,-190,0
9488,-0.16,-41,-300,0
9515,-0.18,-235,-449,0
9542,-0.18,-383,-611,0
9569,-0.12,-476,-755,0
9596,-0.12,-518,-858,0
9623,-0.14,-520,-907,0
9650,-0.14,-503,-902,0
9677,-0.09,-483,-852,0
9704,-0.15,-471,-775,0
9731,-0.15,-469,-686,0
9758,-0.19,-467,-599,0
9785,-0.20,-461,-521,0
9812,-0.11,-449,-451,0
9839,-0.06,-432,-387,0
9866,-0.20,-415,-326,0
9893,-0.11,-403,-268,0
9920,-0.16,-394,-213,0
9947,-0.19,-382,-162,0
9974,-0.13,-341,-114,0
10001,-0.14,-250,-61,0
10028,-0.11,-113,8,0
10055,-0.15,25,101,0
10082,-0.12,112,211,0
10109,-0.12,114,314,0
10136,-0.19,35,383,0
10163,-0.19,-94,396,0
10190,-0.18,-235,347,0
10217,-0.13,-352,251,0
10244,-0.20,-422,135,0
10271,-0.28,-440,28,0
10298,-0.23,-420,-45,0
10325,-0.13,-380,-75,0
10352,-0.18,-342,-66,0
10379,-0.07,-320,-31,0
10406,-0.25,-319,13,0
10433,-0.16,-334,52,0
10460,-0.20,-354,77,0
10487,-0.14,-366,86,0
10514,-0.17,-363,85,0
10541,-0.12,-340,84,0
10568,-0.13,-306,89,0
10595,-0.17,-274,104,0
10622,-0.22,-250,127,0
10649,-0.18,-235,152,0
