Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8912,-0.21,116,7,0
8939,-0.22,476,53,0
8966,-0.11,927,182,0
8993,-0.16,1253,401,0
9020,-0.15,1397,659,0
9047,-0.22,1388,877,0
9074,-0.12,1282,992,0
9101,-0.16,1132,983,0
9128,-0.16,977,866,0
9155,-0.13,834,677,0
9182,-0.06,710,460,0
9209,-0.18,600,247,0
9236,-0.14,503,58,0
9263,-0.09,416,-98,0
9290,-0.16,336,-223,0
9317,-0.23,266,-319,0
9344,-0.09,211,-392,0
9371,-0.15,209,-443,0
9398,-0.17,330,-460,0
9425,-0.10,582,-421,0
9452,-0.16,831,-310,0
9479,-0.23,888,-150,0
9506,-0.15,669,-9,0
9533,-0.18,251,26,0
9560,-0.16,-213,-89,0
9587,-0.24,-598,-342,0
9614,-0.13,-848,-661,0
9641,-0.17,-954,-961,0
9668,-0.15,-932,-1171,0
9695,-0.23,-820,-1253,0
9722,-0.16,-670,-1206,0
9749,-0.11,-538,-1058,0
9776,-0.08,-464,-855,0
9803,-0.22,-454,-650,0
9830,-0.13,-487,-480,0
9857,-0.15,-530,-363,0
9884,-0.14,-557,-297,0
9911,-0.14,-557,-263,0
9938,-0.17,-527,-239,0
9965,-0.19,-475,-206,0
9992,-0.09,-419,-155,0
10019,-0.10,-378,-90,0
10046,-0.12,-363,-20,0
10073,-0.07,-371,42,0
10100,-0.17,-390,88,0
10127,-0.13,-409,114,0
10154,-0.09,-418,124,0
10181,-0.14,-410,127,0
10208,-0.07,-385,131,0
10235,-0.21,-344,145,0
10262,-0.06,-295,170,0
10289,-0.19,-252,205,0
10316,-0.18,-222,246,0
10343,-0.16,-202,283,0
10370,-0.17,-184,312,0
10397,-0.10,-123,335,0
10424,-0.08,57,364,0
10451,-0.19,381,432,0
10478,-0.09,721,562,0
10505,-0.05,866,740,0
10532,-0.09,712,899,0
10559,-0.14,328,947,0
10586,-0.10,-126,828,0
10613,-0.19,-511,553,0
10640,-0.16,-753,191,0
10667,-0.21,-842,-161,0
10694,-0.17,-796,-427,0
10721,-0.21,-658,-562,0
10748,-0.15,-487,-562,0
10775,-0.20,-337,-456,0
10802,-0.10,-245,-293,0
10829,-0.16,-220,-126,0
10856,-0.08,-244,4,0
10883,-0.19,-285,80,0
10910,-0.14,-311,103,0
10937,-0.22,-309,92,0
10964,-0.20,-277,71,0
10991,-0.20,-225,60,0
11018,-0.07,-163,68,0
11045,-0.20,-102,95,0
11072,-0.09,-51,136,0
11099,-0.22,-16,179,0
11126,-0.20,1,216,0
11153,-0.31,11,240,0
11180,-0.07,21,248,0
11207,-0.19,33,246,0
11234,-0.11,46,236,0
11261,-0.22,58,223,0
11288,-0.16,69,210,0
11315,-0.20,79,198,0
11342,-0.16,88,185,0
11369,-0.16,94,173,0
11396,-0.15,96,160,0
11423,-0.19,94,146,0
11450,-0.08,91,129,0
11477,-0.27,106,112,0
11504,-0.09,203,103,0
11531,-0.18,453,124,0
11558,-0.12,812,207,0
11585,-0.25,1083,360,0
11612,-0.11,1086,541,0
11639,-0.18,803,662,0
11666,-0.14,356,638,0
11693,-0.15,-94,441,0
11720,-0.13,-438,113,0
11747,-0.14,-639,-261,0
11774,-0.17,-697,-592,0
11801,-0.07,-632,-814,0
11828,-0.17,-484,-899,0
11855,-0.09,-311,-854,0
11882,-0.17,-173,-713,0
11909,-0.24,-102,-529,0
11936,-0.14,-101,-353,0
11963,-0.15,-144,-223,0
11990,-0.17,-197,-152,0
12017,-0.23,-233,-133,0
12044,-0.16,-241,-145,0
12071,-0.12,-221,-163,0
12098,-0.18,-181,-169,0
12125,-0.19,-136,-154,0
12152,-0.17,-94,-120,0
12179,-0.18,-58,-75,0
12206,-0.14,-29,-27,0
12233,-0.16,-6,16,0
12260,-0.14,10,52,0
12287,-0.21,23,78,0
12314,-0.18,34,95,0
12341,-0.10,46,105,0
12368,-0.08,56,111,0
12395,-0.18,63,113,0
12422,-0.10,64,113,0
12449,-0.18,59,110,0
12476,-0.16,50,103,0
12503,-0.18,41,92,0
12530,-0.16,41,79,0
12557,-0.18,74,69,0
12584,-0.14,204,73,0
12611,-0.13,492,118,0
12638,-0.09,868,231,0
12665,-0.18,1125,413,0
12692,-0.10,1096,612,0
12719,-0.12,788,734,0
12746,-0.23,340,701,0
12773,-0.13,-96,492,0
12800,-0.12,-428,158,0
12827,-0.14,-626,-214,0
12854,-0.14,-689,-540,0
12881,-0.08,-632,-759,0
12908,-0.09,-492,-842,0
12935,-0.23,-327,-799,0
12962,-0.09,-198,-663,0
12989,-0.14,-140,-486,0
13016,-0.14,-151,-318,0
13043,-0.14,-197,-196,0
13070,-0.13,-243,-131,0
13097,-0.18,-266,-113,0
13124,-0.11,-255,-120,0
13151,-0.13,-213,-126,0
13178,-0.06,-155,-116,0
13205,-0.16,-94,-84,0
13232,-0.11,-45,-34,0
13259,-0.09,-13,21,0
13286,-0.06,2,73,0
13313,-0.15,8,112,0
13340,-0.10,10,135,0
13367,-0.14,11,145,0
13394,-0.12,10,144,0
13421,-0.15,6,138,0
13448,-0.08,3,128,0
13475,-0.13,7,117,0
13502,-0.05,19,108,0
13529,-0.20,35,104,0
13556,-0.14,49,105,0
13583,-0.12,60,108,0
13610,-0.10,76,113,0
13637,-0.13,139,122,0
13664,-0.00,330,148,0
13691,-0.17,677,220,0
13718,-0.11,1044,364,0
13745,-0.14,1200,562,0
13772,-0.02,1035,740,0
13799,-0.12,630,800,0
13826,-0.15,149,682,0
13853,-0.12,-265,397,0
13880,-0.05,-544,18,0
13907,-0.10,-680,-358,0
13934,-0.08,-690,-653,0
13961,-0.30,-601,-820,0
13988,-0.16,-460,-851,0
14015,-0.02,-322,-769,0
14042,-0.11,-231,-618,0
14069,-0.12,-205,-448,0
14096,-0.08,-231,-303,0
14123,-0.11,-276,-206,0
14150,-0.06,-305,-160,0
14177,-0.02,-299,-147,0
14204,-0.16,-257,-144,0
14231,-0.18,-194,-131,0
14258,-0.18,-125,-97,0
14285,-0.02,-62,-44,0
14312,-0.06,-13,18,0
14339,-0.05,16,80,0
14366,-0.06,28,131,0
14393,-0.14,29,165,0
14420,-0.06,23,180,0
14447,-0.07,17,180,0
14474,0.09,16,169,0
14501,-0.06,20,155,0
14528,-0.02,26,142,0
14555,-0.10,33,131,0
14582,-0.14,41,125,0
14609,0.03,53,121,0
14636,0.01,66,120,0
14663,-0.45,78,121,0
14690,-0.36,86,123,0
14717,-0.22,89,123,0
14744,-0.22,92,121,0
14771,-0.14,125,118,0
14798,-0.01,263,126,0
14825,-0.10,561,171,0
14852,-0.07,928,283,0
14879,-0.12,1144,460,0
14906,-0.07,1065,643,0
14933,0.04,723,737,0
14960,0.03,264,670,0
14987,0.04,-165,434,0
15014,0.24,-479,85,0
15041,0.04,-654,-288,0
15068,0.01,-695,-601,0
15095,-0.03,-625,-799,0
15122,0.04,-488,-862,0
15149,0.12,-339,-804,0
15176,0.09,-225,-663,0
15203,0.05,-173,-489,0
15230,0.10,-178,-329,0
15257,0.16,-213,-212,0
15284,0.20,-247,-147,0
15311,0.19,-259,-124,0
15338,0.04,-241,-121,0
15365,-0.21,-200,-119,0
15392,-0.23,-148,-102,0
15419,-0.24,-99,-69,0
15446,-0.08,-62,-24,0
15473,-0.17,-36,24,0
15500,-0.03,-20,67,0
15527,0.04,-14,100,0
15554,0.26,-13,120,0
15581,-0.12,-12,128,0
15608,-0.12,-7,129,0
15635,-0.26,3,126,0
15662,-0.30,19,123,0
15689,-0.16,37,123,0
15716,-0.19,54,126,0
15743,-0.24,69,132,0
15770,-0.23,79,138,0
15797,-0.15,84,142,0
15824,-0.09,83,143,0
15851,-0.19,87,139,0
15878,-0.04,134,134,0
15905,-0.14,294,145,0
15932,-0.02,600,197,0
15959,-0.06,939,316,0
15986,-0.16,1104,491,0
16013,-0.28,977,656,0
16040,-0.21,614,722,0
16067,-0.28,170,626,0
16094,-0.25,-220,374,0
16121,-0.26,-492,29,0
16148,-0.15,-636,-321,0
16175,-0.11,-658,-603,0
16202,0.06,-577,-770,0
16229,0.01,-432,-809,0
16256,-0.16,-276,-735,0
16283,-0.12,-157,-586,0
16310,-0.13,-100,-410,0
16337,-0.24,-105,-251,0
16364,-0.33,-148,-138,0
16391,-0.32,-198,-82,0
16418,-0.21,-230,-71,0
16445,-0.29,-235,-86,0
16472,-0.23,-218,-104,0
16499,-0.22,-186,-111,0
16526,-0.17,-152,-99,0
16553,-0.09,-122,-71,0
