Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8925,-0.16,116,7,0
8952,-0.20,479,53,0
8979,0.32,984,186,0
9006,0.32,1522,430,0
9033,0.60,2080,771,0
9060,0.40,2508,1160,0
9087,0.94,2564,1516,0
9114,0.58,2168,1722,0
9141,0.77,1452,1668,0
9168,1.26,644,1314,0
9195,0.97,-36,718,0
9222,0.64,-460,13,0
9249,0.77,-612,-640,0
9276,0.90,-547,-1116,0
9303,0.49,-343,-1351,0
9330,0.68,-86,-1353,0
9357,1.20,140,-1178,0
9384,0.93,266,-909,0
9411,0.89,258,-636,0
9438,1.34,131,-432,0
9465,1.52,-62,-335,0
9492,0.96,-261,-347,0
9519,1.30,-414,-437,0
9546,1.64,-496,-559,0
9573,1.38,-507,-663,0
9600,1.26,-470,-718,0
9627,1.89,-409,-712,0
9654,1.78,-347,-651,0
9681,1.48,-300,-554,0
9708,1.73,-272,-444,0
9735,2.25,-231,-339,0
9762,1.84,-78,-237,0
9789,1.84,269,-113,0
9816,2.32,691,71,0
9843,2.43,906,316,0
9870,2.04,737,552,0
9897,2.31,233,663,0
9924,2.68,-412,563,0
9951,2.50,-985,249,0
9978,2.32,-1336,-194,0
10005,2.84,-1424,-636,0
10032,2.97,-1292,-952,0
10059,2.56,-1014,-1071,0
10086,2.79,-674,-983,0
10113,3.26,-358,-731,0
10140,3.00,-141,-392,0
10167,2.83,-66,-52,0
10194,3.39,-124,215,0
10221,3.55,-263,365,0
10248,3.12,-421,391,0
10275,3.27,-540,323,0
10302,3.81,-590,208,0
10329,3.67,-571,97,0
10356,3.28,-500,27,0
10383,3.77,-406,15,0
10410,4.09,-310,56,0
10437,3.78,-229,132,0
10464,3.75,-169,222,0
10491,4.30,-112,305,0
10518,4.33,21,379,0
10545,3.88,344,463,0
10572,4.20,805,599,0
10599,4.71,1132,803,0
10626,4.40,1091,1025,0
10653,4.22,674,1152,0
10680,4.70,44,1081,0
10707,4.97,-573,781,0
10734,4.51,-1003,315,0
10761,4.72,-1168,-190,0
10788,5.17,-1087,-600,0
10815,5.12,-833,-823,0
10842,4.84,-495,-830,0
10869,5.29,-164,-651,0
10896,5.55,81,-359,0
10923,5.25,191,-41,0
10950,5.14,161,222,0
10977,5.76,30,376,0
11004,5.71,-134,406,0
11031,5.42,-272,331,0
11058,5.61,-345,199,0
11085,6.16,-347,60,0
11112,5.88,-294,-42,0
11139,5.72,-212,-88,0
11166,6.20,-124,-77,0
11193,6.44,-45,-24,0
11220,6.06,15,48,0
11247,6.26,56,121,0
11274,6.66,94,181,0
11301,6.61,207,228,0
11328,6.40,518,287,0
11355,6.79,1003,404,0
11382,7.13,1395,604,0
11409,6.70,1418,843,0
11436,6.72,1028,1006,0
11463,7.33,387,972,0
11490,7.30,-275,696,0
11517,6.98,-764,229,0
11544,7.36,-993,-301,0
11571,7.74,-977,-756,0
11598,7.44,-792,-1034,0
11625,7.32,-525,-1099,0
11652,7.89,-251,-975,0
11679,7.99,-31,-729,0
11706,7.56,91,-439,0
11733,7.96,102,-178,0
11760,8.34,23,1,0
11787,8.07,-99,80,0
11814,8.05,-214,66,0
11841,8.54,-285,-7,0
11868,8.58,-301,-99,0
11895,8.38,-267,-173,0
11922,8.45,-199,-206,0
11949,9.09,-119,-192,0
11976,8.89,-44,-141,0
12003,8.68,13,-68,0
12030,9.18,51,7,0
12057,9.39,72,72,0
12084,9.02,78,118,0
12111,9.35,104,144,0
12138,9.79,249,165,0
12165,9.59,602,217,0
12192,9.45,1076,345,0
12219,10.09,1391,559,0
12246,10.16,1323,794,0
12273,9.87,881,929,0
12300,10.17,241,857,0
12327,10.62,-374,554,0
12354,10.36,-799,88,0
12381,10.35,-974,-412,0
12408,10.82,-929,-817,0
12435,10.78,-739,-1042,0
12462,10.55,-480,-1065,0
12489,11.02,-217,-917,0
12516,11.35,-13,-663,0
12543,10.97,90,-378,0
12570,11.21,87,-130,0
12597,11.67,1,35,0
12624,11.58,-120,100,0
12651,11.35,-231,79,0
12678,11.97,-298,4,0
12705,12.12,-307,-84,0
12732,11.83,-267,-151,0
12759,12.03,-195,-176,0
12786,12.48,-112,-155,0
12813,12.24,-37,-97,0
12840,12.21,20,-20,0
12867,12.73,56,57,0
12894,12.68,72,122,0
12921,12.60,73,165,0
12948,12.99,63,185,0
12975,13.28,48,185,0
13002,12.91,51,171,0
13029,13.26,147,158,0
13056,13.67,454,179,0
13083,13.48,949,280,0
13110,13.41,1366,485,0
13137,14.06,1422,746,0
13164,13.95,1064,941,0
13191,13.79,442,946,0
13218,14.25,-218,706,0
13245,14.55,-723,266,0
13272,14.32,-974,-252,0
13299,14.58,-979,-708,0
13326,14.98,-803,-997,0
13353,14.73,-531,-1074,0
13380,14.91,-243,-958,0
13407,15.46,-12,-711,0
13434,15.29,110,-414,0
13461,15.12,107,-145,0
13488,15.77,6,38,0
13515,15.81,-139,112,0
13542,15.65,-273,88,0
13569,16.06,-352,0,0
13596,16.34,-365,-102,0
13623,16.05,-318,-181,0
13650,16.39,-236,-211,0
13677,16.81,-144,-187,0
13704,16.55,-59,-122,0
13731,16.85,3,-34,0
13758,17.29,44,54,0
13785,17.17,62,128,0
13812,17.22,61,177,0
13839,17.90,54,201,0
13866,17.67,97,205,0
13893,17.74,299,216,0
13920,18.28,701,276,0
13947,18.33,1134,424,0
13974,18.15,1320,644,0
14001,18.82,1116,849,0
14028,18.84,601,918,0
14055,18.70,-27,770,0
14082,19.28,-568,413,0
14109,19.42,-892,-59,0
14136,19.21,-971,-520,0
14163,19.82,-847,-851,0
14190,19.86,-594,-989,0
14217,19.76,-295,-930,0
14244,20.37,-30,-720,0
14271,20.49,133,-433,0
14298,20.22,164,-152,0
14325,20.94,80,57,0
14352,21.07,-64,159,0
14379,20.86,-211,153,0
14406,21.64,-311,71,0
14433,21.67,-344,-40,0
14460,21.52,-313,-136,0
14487,22.27,-239,-188,0
