Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8912,-0.16,118,7,0
8939,-0.20,481,54,0
8966,-0.07,936,184,0
8993,-0.17,1268,405,0
9020,-0.08,1424,667,0
9047,-0.18,1428,890,0
9074,-0.07,1332,1013,0
9101,-0.13,1186,1012,0
9128,-0.09,1025,900,0
9155,-0.14,871,713,0
9182,-0.18,735,490,0
9209,-0.11,621,268,0
9236,-0.16,530,70,0
9263,-0.10,460,-92,0
9290,-0.04,406,-215,0
9317,-0.12,353,-303,0
9344,-0.05,287,-365,0
9371,-0.13,205,-412,0
9398,-0.08,116,-456,0
9425,-0.09,31,-502,0
9452,-0.12,-40,-549,0
9479,-0.08,-99,-590,0
9506,-0.10,-148,-622,0
9533,-0.13,-187,-641,0
9560,-0.08,-217,-646,0
9587,-0.25,-244,-638,0
9614,-0.18,-268,-620,0
9641,-0.21,-288,-594,0
9668,-0.08,-309,-564,0
9695,-0.15,-335,-532,0
9722,-0.11,-362,-501,0
9749,-0.16,-382,-471,0
9776,-0.09,-395,-442,0
9803,-0.15,-403,-412,0
9830,-0.18,-406,-379,0
9857,-0.15,-407,-342,0
9884,-0.15,-405,-303,0
9911,-0.17,-402,-262,0
9938,-0.01,-395,-220,0
9965,-0.16,-386,-179,0
9992,-0.03,-378,-138,0
10019,-0.15,-370,-99,0
10046,-0.17,-359,-61,0
10073,-0.18,-341,-26,0
10100,-0.09,-317,8,0
10127,-0.23,-294,44,0
10154,-0.12,-281,79,0
10181,-0.17,-281,110,0
10208,-0.07,-293,133,0
10235,-0.11,-307,146,0
10262,-0.03,-317,149,0
10289,-0.14,-319,147,0
10316,-0.06,-313,144,0
10343,-0.11,-300,144,0
10370,-0.11,-283,150,0
10397,-0.13,-269,160,0
10424,-0.10,-257,174,0
10451,-0.16,-245,187,0
10478,-0.11,-232,199,0
10505,-0.11,-220,209,0
10532,-0.03,-209,216,0
10559,-0.13,-200,221,0
10586,-0.13,-188,224,0
10613,-0.18,-174,226,0
10640,-0.08,-162,227,0
10667,-0.16,-153,227,0
10694,-0.11,-145,226,0
10721,-0.09,-134,223,0
10748,-0.03,-121,220,0
10775,-0.12,-111,216,0
10802,-0.08,-103,212,0
10829,-0.09,-99,206,0
10856,-0.06,-94,199,0
10883,-0.19,-80,191,0
10910,-0.14,-55,184,0
10937,-0.12,-20,182,0
10964,-0.16,14,186,0
10991,-0.12,36,194,0
11018,-0.09,35,202,0
11045,-0.14,16,201,0
11072,-0.07,-11,188,0
11099,-0.17,-38,161,0
11126,-0.08,-55,126,0
11153,-0.10,-57,90,0
11180,-0.12,-49,60,0
11207,-0.12,-37,39,0
11234,-0.15,-27,29,0
11261,-0.14,-19,26,0
11288,-0.13,-15,26,0
11315,-0.11,-16,26,0
11342,-0.06,-21,23,0
11369,-0.11,-25,17,0
11396,-0.07,-28,9,0
11423,-0.02,-27,0,0
11450,-0.05,-20,-8,0
11477,-0.06,-10,-14,0
11504,-0.09,0,-15,0
11531,-0.09,8,-14,0
11558,-0.00,17,-11,0
11585,-0.09,24,-7,0
11612,-0.11,26,-4,0
11639,-0.07,24,-4,0
11666,-0.04,17,-6,0
11693,-0.09,11,-12,0
11720,-0.12,9,-20,0
11747,-0.04,8,-28,0
11774,-0.07,10,-35,0
11801,-0.07,16,-40,0
11828,-0.14,32,-40,0
11855,-0.07,55,-36,0
11882,0.01,78,-26,0
11909,-0.17,93,-12,0
11936,-0.10,95,0,0
11963,-0.14,80,8,0
11990,-0.11,52,7,0
12017,-0.09,19,-5,0
12044,-0.06,-9,-27,0
12071,-0.14,-28,-55,0
12098,-0.13,-31,-80,0
12125,-0.13,-23,-97,0
12152,-0.16,-11,-103,0
12179,-0.11,-1,-99,0
12206,-0.12,5,-89,0
12233,-0.10,6,-76,0
12260,-0.09,2,-65,0
12287,-0.08,-6,-58,0
12314,-0.02,-17,-56,0
12341,-0.13,-25,-58,0
12368,-0.02,-24,-61,0
12395,-0.09,-16,-63,0
12422,0.03,-8,-61,0
12449,-0.16,-1,-55,0
12476,-0.06,2,-47,0
12503,-0.07,4,-38,0
12530,-0.14,5,-31,0
12557,-0.16,5,-25,0
12584,-0.11,5,-21,0
12611,-0.14,5,-19,0
12638,-0.03,8,-17,0
12665,-0.14,24,-14,0
12692,-0.12,53,-7,0
12719,-0.17,82,5,0
12746,-0.09,97,23,0
