Time,Pressure,rawPPGSignal,PPGSignal
14828,-0.23,2974,191
14863,-0.25,3024,781
14899,-0.21,3025,1523
14935,-0.20,3056,2067
14971,-0.16,3203,2334
15007,-0.18,3273,2378
15043,-0.20,3200,2271
15079,-0.25,3097,2062
15115,-0.25,3035,1790
15151,-0.19,3013,1501
15187,-0.16,3015,1232
15223,-0.18,3030,1001
15259,-0.22,3031,813
15295,-0.24,3027,658
15331,-0.27,3023,524
15367,-0.22,3008,402
15403,-0.20,2995,286
15439,-0.23,2990,175
15475,-0.21,2988,70
15511,-0.16,2990,-24
15547,-0.22,3006,-108
15583,-0.23,3009,-180
15619,-0.15,3007,-243
15655,-0.24,3004,-300
15691,-0.24,3005,-352
15727,-0.20,3007,-400
15763,-0.18,3056,-439
15799,-0.20,3209,-457
15835,-0.16,3273,-444
15871,-0.13,3195,-418
15907,-0.28,3090,-417
15943,-0.19,3027,-457
15979,-0.21,3022,-523
16015,-0.29,3017,-588
16051,-0.18,3012,-639
16087,-0.19,3031,-669
16123,-0.20,3046,-679
16159,-0.11,3035,-675
16195,-0.11,3009,-666
16231,-0.10,2999,-661
16267,-0.20,2982,-660
16303,-0.14,2983,-659
16339,-0.18,2992,-656
16375,-0.16,3000,-645
16411,-0.19,3010,-627
16447,-0.21,3011,-605
16483,-0.28,3005,-582
16519,-0.16,3008,-560
16555,-0.24,3013,-539
16591,-0.11,3060,-515
16627,-0.23,3198,-476
16663,-0.19,3270,-413
16699,-0.22,3202,-341
16735,-0.28,3103,-295
16771,-0.20,3019,-294
16807,-0.04,2997,-326
16843,-0.19,2999,-366
16879,-0.19,3020,-392
16915,-0.19,3038,-396
16951,-0.18,3045,-380
16987,-0.21,3035,-353
17023,-0.21,3018,-327
17059,-0.27,2999,-307
17095,-0.16,3003,-293
17131,-0.22,3007,-281
17167,-0.24,2995,-268
17203,-0.23,3005,-253
17239,-0.24,2996,-238
17275,-0.18,2994,-222
17311,-0.21,3005,-206
17347,-0.08,3006,-188
17383,-0.20,3037,-168
17419,-0.19,3169,-136
17455,-0.27,3264,-81
17491,-0.27,3213,-13
17527,-0.24,3104,31
17563,-0.20,3030,32
17599,-0.19,3014,-1
17635,-0.21,3010,-45
17671,-0.17,3022,-79
17707,-0.23,3024,-96
17743,-0.21,3047,-95
17779,-0.25,3035,-83
17815,-0.16,3021,-68
17851,-0.16,2995,-59
17887,-0.20,2989,-57
17923,-0.21,2996,-58
17959,-0.13,3001,-56
17995,-0.21,2999,-51
18031,-0.19,3013,-43
18067,-0.14,3015,-31
18103,-0.12,3013,-20
18139,-0.22,3015,-10
18175,-0.12,3091,2
18211,-0.22,3214,31
18247,-0.14,3251,82
18283,-0.19,3167,131
18319,-0.18,3063,148
18355,-0.16,3007,122
18391,-0.13,3004,72
18427,-0.21,3013,23
18463,-0.23,3038,-8
18499,-0.20,3045,-19
18535,-0.19,3033,-15
18571,-0.16,3018,-9
18607,-0.23,3007,-6
18643,-0.26,3003,-6
18679,-0.22,3008,-9
18715,-0.19,3001,-10
18751,-0.16,3009,-10
18787,-0.11,3008,-8
18823,-0.26,3001,-5
18859,-0.28,3011,-2
18895,-0.13,3012,1
18931,-0.19,3062,8
18967,-0.11,3195,31
19003,-0.29,3246,75
19039,-0.22,3157,123
19075,-0.25,3056,141
19111,-0.18,3007,117
19147,-0.18,2992,68
19183,-0.19,3010,18
19219,-0.20,3039,-13
19255,-0.22,3051,-23
19291,-0.16,3045,-17
19327,-0.16,3023,-9
19363,-0.19,2991,-7
19399,-0.15,2983,-13
19435,-0.19,2960,-25
19471,-0.20,2947,-39
19507,-0.19,2947,-52
19543,-0.18,2959,-59
19579,-0.18,2975,-57
19615,-0.21,3008,-46
19651,-0.21,3037,-26
19687,-0.15,3056,0
19723,-0.17,3083,26
19759,-0.15,3143,53
19795,-0.11,3125,80
19831,-0.16,3066,95
19867,-0.15,3009,86
19903,-0.16,2985,57
