Time,Pressure,rawPPGSignal,PPGSignal
64815,27.68,3088,199
64864,26.79,2999,802
64913,25.94,2863,1536
64962,25.29,2790,2032
65011,24.71,2871,2225
65060,24.02,3776,2248
65109,23.41,4095,2280
65158,22.76,3655,2310
65207,22.16,2832,2171
65256,21.71,2559,1790
65305,21.12,2705,1290
65354,20.61,2992,864
65403,20.13,3105,606
65452,19.64,2992,479
65501,19.27,2834,388
65550,19.01,2802,278
65599,18.58,2994,163
65648,18.14,3856,132
65697,17.81,4095,256
65746,17.35,3224,404
65795,17.10,2687,351
65844,16.64,2609,77
65893,16.18,2855,-253
65942,15.84,3120,-479
65991,15.51,3120,-559
66040,15.22,2925,-564
66089,14.97,2806,-580
66138,14.70,2918,-623
66187,14.54,3761,-607
66236,14.10,4095,-441
66285,13.87,3495,-218
66334,13.68,2838,-151
66383,13.40,2650,-315
66432,13.13,2832,-582
66481,12.87,3071,-786
66530,12.65,3090,-859
66579,12.42,2918,-849
66628,12.15,2809,-835
66677,11.97,2860,-838
66726,11.77,3493,-801
66775,11.62,4095,-629
66824,11.43,3717,-360
66873,11.29,2949,-197
66922,11.06,2626,-274
66971,10.86,2687,-511
67020,10.73,2981,-730
67069,10.61,3097,-819
67118,10.37,2949,-799
67167,10.28,2813,-752
67216,10.20,2800,-727
67265,10.12,3197,-691
67313,9.87,4095,-544
67362,9.72,3856,-264
67411,9.68,3010,-45
67460,9.42,2620,-67
67509,9.31,2655,-281
67558,9.08,2937,-503
67607,8.93,3129,-604
67656,8.86,3027,-582
67705,8.69,2869,-520
67754,8.68,2845,-480
67803,8.47,3260,-437
67852,8.33,4095,-292
67901,8.05,3875,-25
67950,8.00,3067,180
67999,7.84,2678,152
68048,7.64,2701,-62
68097,7.56,2981,-287
68146,7.39,3146,-395
68195,7.27,3006,-388
68244,7.17,2838,-349
68293,7.07,2837,-332
68342,7.02,3423,-294
68391,6.93,4095,-132
68440,6.71,3751,133
68489,6.63,2974,305
68538,6.49,2651,239
68587,6.31,2724,11
68636,6.28,3008,-204
68685,6.19,3093,-299
68734,6.22,2943,-292
68783,6.05,2790,-265
68832,5.97,2805,-260
68881,5.95,3358,-229
68930,5.77,4095,-71
68979,5.75,3792,201
69028,5.72,2989,390
69077,5.52,2626,335
69126,5.56,2657,100
69175,5.45,2907,-137
69224,5.46,3021,-260
69273,5.36,2985,-267
69322,5.15,2881,-224
69371,5.03,2818,-189
69420,4.96,3206,-150
69469,4.82,4095,-13
69518,4.74,3920,249
69567,4.83,3047,456
69616,4.80,2614,418
69665,4.81,2640,178
69714,5.03,2947,-74
69763,5.20,3184,-197
69812,5.16,3163,-181
69861,4.95,2960,-112
69910,4.94,2816,-76
69959,4.87,3286,-63
70008,4.98,4095,44
70057,4.79,3851,273
70106,4.65,3068,445
70155,4.62,2701,393
70204,4.61,2763,168
70253,4.73,3106,-52
70302,4.93,3249,-147
70351,4.93,3034,-135
70400,4.84,2846,-115
70449,4.86,2891,-129
70498,4.65,3810,-96
70547,4.38,4095,87
70596,4.24,4095,367
70645,4.02,3238,555
70694,3.86,2695,491
70743,3.75,2607,208
70792,3.56,2938,-104
70841,3.49,3162,-282
70890,3.40,3046,-308
70939,3.38,2831,-275
70988,3.33,2742,-265
71037,3.02,3293,-251
71086,3.04,4095,-115
71135,3.15,4095,167
71184,2.99,3281,417
71233,2.83,2654,423
71282,2.60,2655,192
71331,2.27,3006,-83
71380,2.02,3237,-231
71429,1.83,2993,-246
71478,1.74,2695,-235
71527,1.71,2603,-274
71576,1.68,2922,-322
71625,1.58,4095,-241
71674,1.47,4095,42
71723,1.52,3559,360
71772,1.51,2629,457
71821,1.51,2377,260
71870,1.38,2602,-73
71919,1.20,2960,-321
71968,1.06,3066,-388
72017,0.99,2876,-332
72066,0.96,2687,-268
72115,0.86,2814,-240
72164,0.91,4095,-141
72213,0.88,4095,133
72262,0.95,4095,474
72311,0.77,2675,634
72360,0.80,2125,446
72409,0.72,2171,11
72458,0.59,2454,-399
72507,0.53,2842,-603
72556,0.53,3143,-565
72605,0.46,3174,-367
72654,0.42,3216,-130
72703,0.40,4095,118
72752,0.41,4095,413
72801,0.28,4095,685
72850,0.20,3152,791
72899,0.24,2607,625
72948,0.22,2594,259
72997,0.18,2864,-99
73046,0.20,3020,-304
73095,0.19,2915,-351
73144,0.21,2669,-337
73193,0.16,2593,-338
73242,0.25,3351,-314
73291,0.19,4095,-138
73340,0.17,4095,191
73389,0.14,3126,462
73438,0.20,2240,437
73487,0.14,2127,112
73536,0.20,2559,-275
73585,0.13,2966,-490
73634,0.24,3013,-480
73683,0.25,2852,-354
73732,0.31,2747,-236
73781,0.16,3281,-139
73830,0.21,4095,40
73879,0.22,3952,328
73928,0.21,2931,533
73977,0.13,2485,463
74026,0.15,2487,176
74075,0.15,2751,-123
74124,0.07,2930,-288
74173,0.19,2926,-307
74222,0.13,2786,-254
74271,0.09,2731,-205
74320,0.14,3025,-163
74369,0.11,4095,-28
74418,0.13,4095,261
74467,0.09,3217,529
74516,0.16,2620,546
74565,0.08,2465,305
74614,0.04,2650,-14
74663,0.09,2902,-238
74712,0.03,2943,-307
74761,0.07,2821,-275
74810,0.13,2721,-227
74859,0.12,2843,-193
74908,0.16,3972,-88
74957,0.06,4095,177
75006,0.03,3651,481
75055,0.01,2798,593
75104,0.02,2443,423
75153,0.05,2559,93
75202,0.04,2906,-187
75251,0.00,3055,-299
75300,0.02,2947,-273
75349,-0.03,2751,-212
75398,0.08,2727,-185
75447,0.01,3296,-153
75496,0.00,4095,-1
75545,-0.05,4095,291
75594,-0.05,3026,525
75643,-0.09,2550,486
75692,-0.09,2545,212
75741,0.00,2769,-91
75790,0.12,3017,-270
75839,0.07,3006,-296
75888,-0.06,2859,-245
75937,-0.04,2728,-202
75986,-0.04,2821,-191
76035,-0.00,3856,-119
76084,-0.02,4095,111
76133,-0.04,3667,402
76182,-0.05,2742,519
76231,-0.10,2483,358
76280,-0.06,2627,47
76329,-0.06,2911,-208
76378,-0.06,3065,-308
76427,-0.04,2988,-278
76476,-0.04,2827,-212
76525,-0.08,2743,-178
76574,-0.07,3117,-159
76623,-0.12,4095,-41
76672,-0.08,4095,230
76721,-0.15,3145,476
76770,-0.15,2559,466
76819,-0.13,2495,209
76868,-0.17,2711,-101
76917,-0.07,2992,-297
76966,-0.14,3101,-327
77015,-0.10,2954,-254
77064,-0.11,2768,-183
77113,-0.11,2933,-151
77162,-0.11,4095,-56
77211,-0.09,4095,197
77260,-0.07,3413,461
77309,-0.17,2645,501
77358,-0.16,2458,277
77407,-0.04,2688,-46
77456,-0.03,2982,-274
77505,-0.13,3101,-332
77554,-0.07,2992,-273
77603,-0.17,2832,-197
77652,-0.14,2861,-159
77701,-0.17,3874,-84
77750,-0.08,4095,132
77799,-0.14,3664,400
77848,-0.18,2771,499
77897,-0.17,2496,331
77946,-0.05,2622,18
77995,-0.10,2949,-237
78044,-0.08,3136,-328
78093,-0.14,3025,-284
78142,-0.17,2851,-208
78191,-0.15,2815,-171
78240,-0.07,3583,-121
78289,-0.19,4095,51
78338,-0.10,3968,326
78387,-0.15,2839,492
78436,-0.14,2464,378
78485,-0.16,2559,67
78534,-0.19,2887,-219
78583,-0.13,3084,-345
78632,-0.18,3007,-323
78681,-0.13,2815,-254
78730,-0.12,2786,-212
78779,-0.12,3194,-178
78828,-0.14,4095,-43
78877,-0.11,4095,233
78926,-0.17,3070,467
78975,-0.14,2522,437
79024,-0.12,2480,165
79073,-0.16,2781,-142
79122,-0.15,3097,-313
79171,-0.13,3109,-312
79220,-0.17,2953,-228
79269,-0.13,2822,-159
79318,-0.10,3086,-122
79367,-0.20,4095,-14
79416,-0.14,4095,236
79465,-0.19,3305,475
79514,-0.11,2608,479
79563,-0.12,2525,235
79612,-0.18,2857,-69
79661,-0.14,3187,-248
79710,-0.14,3189,-255
79759,-0.08,2932,-185
79808,-0.14,2783,-144
79857,-0.22,3120,-138
79906,-0.12,4095,-46
79955,-0.09,4095,199
80004,-0.12,3401,443
80053,-0.12,2599,461
80102,-0.10,2416,216
80151,-0.08,2736,-115
80200,-0.12,3120,-325
80249,-0.15,3135,-347
80298,-0.18,2882,-274
80347,-0.09,2755,-220
80396,-0.20,3287,-182
80445,-0.15,4095,-44
80494,-0.12,4095,230
80543,-0.14,3161,461
80592,-0.16,2466,429
80641,-0.11,2386,142
80690,-0.06,2765,-190
80739,-0.20,3119,-371
80788,-0.10,3057,-365
80837,-0.17,2837,-281
80886,-0.11,2754,-223
80935,-0.18,3327,-174
80984,-0.20,4095,-20
81033,-0.19,4095,264
81082,-0.12,3019,488
81131,-0.19,2451,435
81180,-0.16,2489,141
81229,-0.22,2880,-165
81278,-0.11,3184,-309
81327,-0.10,3086,-283
81376,-0.15,2832,-203
81425,-0.25,2805,-162
81474,-0.09,3987,-87
81523,-0.21,4095,138
81572,-0.17,4095,441
81621,-0.20,2807,596
81670,-0.20,2438,444
81719,-0.16,2679,94
81768,-0.22,3176,-189
81817,-0.29,3481,-260
81866,-0.22,3139,-175
81915,-0.17,2777,-100
81964,-0.10,3058,-99
82013,-0.12,4095,-46
82062,-0.18,4095,164
82111,-0.11,4095,434
82160,-0.21,2514,533
82209,-0.23,2178,297
82258,-0.16,2619,-119
82307,-0.19,3114,-412
82356,-0.20,3186,-465
82405,-0.16,2807,-383
82454,-0.16,2624,-323
82503,-0.15,3285,-286
82552,-0.08,4095,-135
82601,-0.18,4095,163
82650,-0.14,3354,430
82699,-0.18,2287,430
82748,-0.12,2209,128
82797,-0.19,2707,-247
82846,-0.14,3184,-444
82895,-0.14,3071,-417
82944,-0.17,2768,-306
82993,-0.16,2627,-244
83042,-0.13,3236,-211
83091,-0.21,4095,-67
83140,-0.15,4095,228
83189,-0.17,4095,544
83238,-0.18,1122,569
83287,-0.09,912,66
83336,-0.12,2283,-618
83385,-0.22,3091,-936
83434,-0.20,3143,-801
83483,-0.12,2805,-476
83532,-0.14,2643,-213
83581,-0.14,2973,-64
83630,-0.14,4095,104
83679,-0.28,4095,398
83728,-0.21,3607,685
83777,-0.14,2302,721
83826,-0.16,2059,421
83875,-0.21,2585,-8
83924,-0.16,3293,-259
83973,-0.08,3387,-229
84022,-0.05,2901,-69
84071,-0.16,2558,16
84120,-0.13,2762,-13
84169,-0.20,4095,14
84218,-0.16,4095,241
84267,-0.19,4095,557
84316,-0.11,2270,681
84365,-0.20,646,339
84414,-0.04,1774,-340
84463,-0.18,3051,-813
84512,-0.15,3465,-782
84561,-0.23,2991,-445
84610,-0.16,2618,-139
84659,-0.18,2514,-15
84708,-0.12,2910,-7
84757,-0.13,4095,76
84806,-0.15,4095,344
84855,-0.15,4095,670
84904,-0.17,1680,750
84953,-0.15,477,305
85002,-0.19,1829,-435
85051,-0.15,3043,-881
85100,-0.19,3333,-797
85149,-0.22,2934,-428
85198,-0.22,2593,-102
85247,-0.16,2482,37
85296,-0.13,3070,68
85345,-0.16,4095,184
85394,-0.19,4095,466
85443,-0.17,3201,725
85492,-0.20,2199,702
85541,-0.14,2061,366
85590,-0.22,2519,-48
85639,-0.23,2977,-289
85688,-0.12,3019,-293
85737,-0.14,2751,-181
85786,-0.15,2547,-99
85835,-0.28,2624,-88
85884,-0.16,3427,-55
85933,-0.16,4095,129
85982,-0.16,4095,452
86031,-0.16,2928,688
86080,-0.19,2192,606
86129,-0.13,2223,244
86178,-0.15,2698,-134
86227,-0.17,3041,-319
86276,-0.09,2986,-298
86325,-0.18,2740,-198
86374,-0.16,2590,-140
86423,-0.26,2669,-141
86472,-0.12,3701,-93
86521,-0.22,4095,123
86570,-0.16,4095,455
86619,-0.20,2809,661
86668,-0.18,2193,536
86717,-0.21,2295,153
86766,-0.15,2743,-216
86815,-0.18,3061,-382
86864,-0.05,2981,-348
86913,-0.17,2705,-249
86962,-0.13,2603,-197
