Time,Pressure,rawPPGSignal,PPGSignal
52471,25.03,3095,199
52520,23.45,3351,826
52569,21.96,3305,1635
52618,20.67,3086,2226
52667,19.46,3006,2464
52716,18.56,3011,2406
52765,17.48,3039,2182
52814,16.53,3061,1904
52863,15.83,3059,1632
52912,15.02,3023,1387
52961,14.30,3003,1169
53010,13.62,3001,975
53059,13.03,3015,803
53108,12.50,3026,655
53157,11.94,3047,526
53206,11.58,3024,411
53255,11.07,3141,310
53304,10.68,3403,245
53353,10.18,3283,218
53401,9.74,3088,175
53450,9.27,3031,75
53499,8.86,3013,-62
53548,8.52,3040,-198
53597,8.05,3068,-307
53646,7.69,3038,-384
53695,7.24,3019,-443
53744,6.83,3014,-492
53793,6.41,2992,-535
53842,6.03,2992,-574
53891,5.72,3005,-606
53940,5.24,3014,-629
53989,4.94,3024,-641
54038,4.52,3019,-647
54087,4.19,3046,-649
54136,4.05,3348,-627
54185,3.85,3418,-558
54234,3.59,3193,-479
54283,3.40,3071,-457
54332,3.36,3041,-497
54381,2.95,3003,-566
54430,2.89,3027,-629
54479,2.48,3066,-666
54528,2.28,3056,-672
54577,2.01,2992,-663
54626,1.56,2969,-655
54675,0.74,2975,-651
54724,0.71,2995,-643
54773,0.67,3003,-626
54822,0.79,3017,-599
54871,0.68,3015,-568
54920,0.74,3004,-538
54969,0.68,2995,-512
55018,0.68,3024,-489
55067,0.68,3354,-443
55116,0.65,3427,-347
55165,0.59,3179,-242
55214,0.61,3030,-200
55263,0.55,2995,-232
55312,0.49,2992,-294
55361,0.43,3047,-344
55410,0.47,3082,-361
55459,0.46,3056,-347
55508,0.37,2996,-326
55557,0.47,2981,-312
55606,0.40,2978,-305
55655,0.39,2995,-298
55704,0.41,3006,-283
55753,0.33,3019,-261
55802,0.39,3021,-234
55851,0.29,2998,-209
55900,0.34,3108,-182
55949,0.30,3383,-128
55998,0.30,3281,-41
56047,0.31,3071,25
56096,0.29,2978,23
56145,0.23,2977,-28
56194,0.14,3013,-88
56243,0.26,3062,-121
56292,0.10,3051,-124
56341,0.15,3003,-112
56390,0.15,2984,-103
56439,0.12,2969,-101
56488,0.14,3005,-99
56537,0.07,3002,-92
56586,0.10,2990,-80
56635,0.17,2999,-67
56684,0.11,3205,-42
56733,0.09,3395,21
56782,0.06,3231,109
56831,0.10,3022,155
56880,0.05,2986,130
56929,0.04,2989,65
56978,0.10,3038,4
57027,0.07,3066,-26
57076,0.04,3043,-31
57125,0.10,3007,-26
57174,0.13,2970,-25
57223,0.13,3002,-31
57272,0.10,3027,-31
57321,-0.00,2992,-25
57370,0.03,2992,-20
57419,0.02,3030,-14
57468,0.08,3327,14
57517,0.10,3376,88
57566,-0.02,3167,167
57615,0.05,3031,190
57664,-0.06,3024,148
57713,-0.00,3009,81
57762,-0.01,3012,20
57811,0.03,3067,-16
57860,0.02,3039,-27
57909,0.11,2999,-27
57958,0.16,2983,-29
58007,0.04,3001,-34
58056,0.01,2999,-36
58105,0.01,3012,-33
58154,0.01,3007,-27
58203,-0.03,3002,-20
58252,0.03,3025,-14
58301,-0.04,3344,14
58350,-0.02,3371,87
58399,-0.00,3157,164
58448,-0.02,3022,181
58497,-0.05,3010,134
58546,0.03,3022,64
58595,-0.06,3061,8
58644,-0.04,3057,-20
58693,-0.02,3011,-30
58742,0.01,2971,-39
58791,-0.07,2979,-51
58840,-0.09,3007,-59
58889,-0.08,3018,-57
58938,-0.01,3007,-47
58987,-0.01,3007,-37
59036,-0.14,3003,-30
59085,-0.08,3039,-23
59134,-0.05,3136,-6
59183,-0.06,3394,40
59232,-0.05,3282,116
59281,-0.12,3061,166
59330,-0.03,2989,146
59379,-0.11,2989,79
59428,-0.12,3006,8
59477,-0.10,3056,-37
59526,-0.10,3066,-51
59575,-0.12,3008,-47
59624,-0.12,2977,-45
59673,-0.13,2982,-51
59722,0.02,3006,-56
59771,-0.07,3027,-54
59820,-0.11,3011,-45
59869,-0.02,2999,-36
59918,-0.11,2994,-32
59967,-0.08,3255,-14
60016,-0.12,3472,50
60065,-0.14,3264,145
60114,-0.13,3019,190
60163,-0.14,2979,150
60212,-0.04,3009,68
60261,-0.19,3045,-4
60310,0.00,3071,-43
60359,-0.09,3037,-54
60408,-0.16,3008,-54
60457,-0.14,2975,-57
60506,-0.17,2966,-66
60555,-0.12,2989,-75
60604,-0.09,3006,-76
60653,-0.16,2992,-68
60702,-0.08,3018,-58
60751,-0.16,3006,-45
60800,-0.16,2998,-35
60849,-0.20,3270,-12
60898,-0.09,3514,59
60947,-0.15,3246,158
60996,-0.16,3029,202
61045,-0.13,2997,159
61094,-0.11,2991,74
61143,-0.18,3004,-5
61192,-0.12,3050,-56
61241,-0.17,3056,-71
61290,-0.13,3031,-66
61339,-0.15,2989,-58
61388,-0.07,2991,-57
61437,-0.15,3002,-60
61486,-0.20,3008,-59
61535,-0.12,3011,-55
61584,-0.18,2992,-49
61633,-0.16,2958,-48
61682,-0.04,2991,-50
61731,-0.14,2996,-50
61780,-0.11,3093,-38
61829,-0.00,3511,15
61878,-0.13,3440,124
61927,-0.21,3147,218
61976,-0.08,2994,220
62025,-0.09,2961,141
62074,-0.12,2991,39
62123,-0.11,3056,-36
62172,-0.13,3057,-69
62221,-0.14,3010,-73
62270,-0.16,2965,-72
62319,-0.13,2964,-77
62368,-0.12,2974,-83
62417,-0.12,2994,-83
62466,-0.14,2999,-76
62515,-0.10,2997,-63
62564,-0.06,2991,-52
62613,-0.14,3021,-41
62662,-0.13,3029,-29
62711,-0.12,3323,3
62760,0.02,3478,82
62809,-0.09,3184,173
62858,-0.12,2990,197
62907,-0.15,2940,137
62956,-0.07,2967,41
63005,-0.17,3053,-33
63054,-0.11,3085,-63
63103,-0.05,3053,-58
63152,-0.13,3009,-45
63201,-0.21,2966,-42
63250,-0.15,2973,-51
63299,-0.11,2981,-62
63348,-0.13,3003,-65
63397,-0.21,3018,-59
63446,-0.10,3095,-41
63495,-0.14,3486,12
63544,-0.01,3389,113
63593,-0.11,3093,193
63642,-0.16,2970,183
63691,-0.12,2971,103
63740,-0.17,3003,12
63789,-0.22,3059,-48
63838,-0.02,3082,-68
63887,-0.08,3030,-62
63936,-0.06,2979,-55
63985,-0.28,2971,-59
64034,-0.11,2960,-70
64083,-0.22,3001,-77
64132,-0.18,3022,-74
64181,-0.08,3033,-59
64230,-0.12,3056,-38
64279,-0.10,3453,8
64328,-0.15,3471,105
64377,-0.10,3151,196
64426,-0.09,2981,203
64475,-0.22,3018,130
64524,-0.15,3024,39
64573,-0.23,3056,-26
64622,-0.16,3058,-59
64671,-0.19,3037,-67
64720,-0.09,2979,-68
64769,-0.20,2977,-74
64818,-0.09,3002,-81
64867,-0.18,3018,-80
64916,-0.17,3034,-70
64965,-0.15,3003,-56
65014,-0.13,2989,-47
65063,-0.16,3028,-43
65112,-0.12,3381,-14
65161,-0.23,3530,73
65210,-0.17,3200,177
65259,-0.21,3019,206
65308,-0.10,3015,149
65357,-0.13,3046,61
65406,-0.20,3071,-7
65455,-0.13,3061,-44
65504,-0.08,3042,-58
65553,-0.16,3001,-64
65602,-0.15,2980,-72
65651,-0.19,2994,-81
65700,-0.19,3010,-84
65749,-0.20,3019,-79
65798,-0.10,3024,-67
65847,-0.09,3037,-53
65896,-0.11,3009,-40
65945,-0.09,2979,-36
65994,-0.17,3175,-27
66043,-0.10,3583,30
66092,-0.13,3377,141
66141,-0.17,3083,216
66190,-0.11,2983,193
66239,-0.10,2999,103
66288,-0.13,3037,10
66337,-0.14,3091,-46
66386,-0.13,3082,-64
66435,-0.17,3024,-61
66484,-0.10,2993,-60
66533,-0.18,2985,-67
66582,-0.12,3012,-75
66631,-0.12,3022,-75
66680,-0.12,3014,-68
66729,-0.14,3019,-59
66778,-0.08,3101,-44
66827,-0.18,3443,1
66876,-0.15,3376,91
66925,-0.18,3133,166
66974,-0.15,2987,164
67023,-0.19,2974,94
67072,-0.10,3053,11
67121,-0.15,3107,-40
67170,-0.21,3058,-54
67219,-0.17,2993,-56
67268,-0.14,2964,-65
67317,-0.15,2992,-78
67366,-0.19,2993,-86
67415,-0.17,3011,-84
67464,-0.14,3013,-74
67513,-0.20,3003,-61
67562,-0.12,3008,-50
67611,-0.19,3309,-22
67660,-0.23,3657,65
67709,-0.16,3328,192
67758,-0.20,3070,255
67807,-0.20,3015,210
67856,-0.15,3019,109
67905,-0.24,3010,10
67954,-0.12,3040,-57
68003,-0.15,3033,-90
68052,-0.12,3015,-97
68101,-0.14,2991,-95
68150,-0.12,2994,-92
68199,-0.11,3009,-88
68248,-0.14,3001,-80
68297,-0.16,2992,-72
68346,-0.19,3005,-66
68395,-0.11,3010,-58
68444,-0.14,2994,-50
68493,-0.15,3059,-40
68542,-0.16,3548,6
68591,-0.19,3598,125
68640,-0.10,3200,245
68689,-0.13,3013,263
68738,-0.11,2999,180
68787,-0.20,3007,66
68836,-0.13,3057,-24
68885,-0.24,3085,-70
68934,-0.08,3037,-80
68983,-0.17,2977,-81
69032,-0.12,2974,-86
69081,-0.14,2993,-94
69130,-0.20,2992,-95
69179,-0.20,2999,-89
69228,-0.16,2993,-80
69277,-0.24,2992,-71
69326,-0.12,2988,-63
69375,-0.07,2996,-56
69424,-0.20,2974,-50
69473,-0.21,2992,-46
69522,-0.12,3419,-14
69571,-0.30,3697,94
69620,-0.15,3281,233
69669,-0.14,2994,283
69718,-0.16,2962,212
69767,-0.16,2992,89
69816,-0.21,3049,-12
69865,-0.08,3083,-64
69914,-0.10,3034,-76
69963,-0.16,2967,-76
70012,-0.04,2955,-82
70061,-0.17,2971,-92
70110,-0.13,2982,-96
70159,-0.20,3008,-90
70208,-0.18,3007,-75
70257,-0.20,2979,-60
70306,-0.11,2985,-51
70355,-0.12,2993,-45
70404,-0.19,2992,-40
70453,-0.19,3071,-29
70502,-0.17,3605,25
70551,-0.14,3467,146
70600,-0.13,3094,245
70649,-0.17,2926,232
70698,-0.15,2960,132
70747,-0.23,3000,21
70796,-0.15,3088,-48
70845,-0.16,3063,-68
70894,-0.19,2960,-65
70943,-0.18,2971,-68
70992,-0.21,2994,-75
71041,-0.15,2993,-75
71090,-0.20,2997,-69
71139,-0.17,3002,-60
71188,-0.22,3002,-50
71237,-0.29,3008,-40
71286,-0.17,3101,-25
71335,-0.11,3485,24
71384,-0.15,3383,122
71433,-0.17,3058,196
71482,-0.22,2943,179
