Time,Pressure,rawPPGSignal,PPGSignal
334195,25.69,2432,156
334236,24.21,2811,660
334277,23.05,4095,1416
334318,21.95,4095,2196
334359,20.74,4095,2777
334400,19.69,4074,3034
334441,18.63,3520,2970
334482,17.79,3087,2618
334523,16.92,2882,2078
334564,16.18,2896,1506
334605,15.45,2918,1026
334646,14.84,2863,679
334687,14.11,2741,434
334728,13.58,2612,241
334769,12.93,2529,67
334810,12.27,2528,-90
334851,11.64,2493,-222
334892,11.13,2497,-327
334933,10.51,2525,-403
334974,9.95,2518,-454
335015,9.30,2480,-491
335056,8.62,2461,-528
335097,8.04,2544,-559
335138,7.50,3345,-524
335179,6.74,4095,-323
335220,6.13,4095,18
335261,5.66,4095,340
335302,5.44,3682,506
335343,5.05,3331,455
335384,4.58,3081,220
335425,4.01,3035,-98
335466,3.03,3088,-389
335507,2.90,3038,-591
335548,2.66,2896,-717
335589,2.60,2704,-811
335630,2.57,2559,-906
335671,2.39,2559,-998
335712,2.21,2614,-1059
335753,2.09,2623,-1070
335794,1.92,2583,-1045
335835,1.82,2535,-1008
335876,1.40,2497,-975
335917,1.46,2448,-952
335958,1.33,2527,-928
335999,1.25,3184,-848
336040,1.00,4095,-608
336081,0.99,4095,-212
336122,0.92,4095,182
336163,0.87,3837,431
336204,0.77,3455,475
336245,0.72,3143,323
336286,0.69,2967,51
336327,0.76,2976,-236
336368,0.66,2955,-457
336409,0.66,2919,-588
336450,0.53,2758,-654
336491,0.49,2610,-699
336532,0.47,2507,-747
336573,0.48,2519,-790
336614,0.46,2480,-811
336655,0.51,2507,-802
336696,0.42,2529,-766
336737,0.34,2487,-710
336778,0.35,2463,-653
336819,0.33,2429,-604
336860,0.28,2425,-564
336901,0.33,2800,-503
336942,0.39,4095,-306
336983,0.39,4095,84
337024,0.30,4095,514
337065,0.27,3898,808
337106,0.25,3415,887
337147,0.26,3173,749
337188,0.21,3017,479
337229,0.27,2971,188
337270,0.25,2931,-48
337311,0.21,2862,-207
337352,0.19,2741,-304
337393,0.23,2625,-370
337434,0.17,2546,-425
337475,0.25,2523,-467
337516,0.24,2543,-488
337557,0.17,2511,-483
337598,0.22,2477,-461
337639,0.16,2475,-434
337680,0.20,2459,-403
337721,0.13,2446,-371
337762,0.17,2445,-339
337803,0.23,2786,-283
337844,0.13,4095,-97
337885,0.12,4095,279
337926,0.13,4095,697
337967,0.22,3699,966
338008,0.07,3303,1000
338049,0.13,3102,822
338090,0.11,3007,540
338131,0.17,3045,266
338172,0.06,3087,71
338213,0.14,3041,-33
338254,0.16,2919,-84
338295,0.17,2778,-126
338336,0.11,2663,-183
338377,0.03,2658,-249
338418,0.07,2657,-302
338459,0.17,2650,-327
338500,0.04,2645,-327
338541,0.09,2619,-313
338582,0.13,2597,-293
338623,0.08,2544,-277
338664,0.11,2944,-241
338705,0.09,4095,-79
338746,0.09,4095,260
338787,0.14,4095,636
338828,0.12,3839,881
338869,0.11,3428,924
338910,0.12,3193,769
338951,0.08,3069,501
338992,0.11,3071,225
339033,0.10,3105,14
339074,0.13,2972,-114
339115,0.08,2832,-198
339156,0.05,2736,-270
339197,0.16,2690,-335
339238,0.06,2671,-385
339279,0.19,2645,-414
339320,0.05,2592,-424
339361,0.09,2559,-425
339402,0.10,2539,-421
339443,0.12,2512,-412
339484,0.02,2495,-398
339525,0.14,2547,-376
339566,0.07,3219,-298
339607,0.07,4095,-66
339648,0.11,4095,314
339689,-0.01,4095,689
339730,0.04,3701,908
339771,0.08,3344,908
339812,0.06,3142,718
339853,0.03,3101,442
339894,0.03,3135,188
339935,0.07,3083,9
339976,0.02,2943,-102
340017,0.04,2807,-186
340058,0.06,2720,-263
340099,0.07,2658,-334
340140,0.03,2629,-390
340181,0.11,2631,-423
340222,0.09,2629,-428
340263,0.10,2605,-414
340304,0.03,2559,-391
340345,0.04,2531,-371
340386,0.08,2521,-355
340427,-0.00,2615,-332
340468,0.07,3447,-238
340509,0.07,4095,17
340550,0.02,4095,397
340591,-0.02,4095,744
340632,-0.01,3637,929
340673,0.04,3315,896
340714,-0.03,3131,684
340755,-0.02,3098,404
340796,-0.03,3163,158
340837,-0.01,3095,-5
340878,0.00,2947,-105
340919,0.01,2799,-184
340960,-0.01,2713,-262
341001,0.01,2700,-333
341042,-0.00,2649,-385
341083,0.01,2624,-414
341124,-0.04,2631,-422
341165,0.01,2619,-411
341206,-0.04,2559,-390
341247,-0.04,2537,-372
341288,-0.06,2687,-347
341329,0.04,3799,-227
341370,-0.07,4095,72
341411,-0.04,4095,460
341452,0.03,4095,775
341493,-0.08,3616,920
341534,-0.01,3265,850
341575,-0.10,3125,612
341616,0.00,3186,329
341657,-0.05,3280,108
341698,-0.07,3175,-18
341739,-0.08,3019,-92
341780,-0.13,2832,-162
341821,-0.07,2763,-247
341862,-0.02,2713,-331
341903,-0.10,2679,-398
341944,-0.07,2666,-437
341985,0.01,2667,-448
342026,-0.09,2651,-437
342067,-0.05,2614,-413
342108,-0.04,3305,-343
342149,-0.08,4095,-129
342190,-0.32,4095,226
342231,-0.06,4095,575
342272,0.00,4095,804
342313,-0.08,3818,882
342354,-0.11,3440,796
342395,-0.11,3242,574
342436,-0.15,3266,301
342477,-0.02,3156,64
342518,-0.12,2930,-120
342559,-0.08,2758,-278
342600,-0.10,2686,-415
342641,-0.27,2694,-517
342682,-0.06,2662,-569
342723,-0.09,2602,-581
342764,-0.10,2554,-575
342805,-0.08,2544,-560
342846,-0.05,2559,-536
342887,-0.07,3115,-464
342928,-0.06,4095,-247
342969,-0.06,4095,130
343010,-0.05,4095,517
343051,-0.06,4095,781
343092,-0.05,3501,863
343133,-0.08,3154,731
343174,-0.05,3184,458
343215,-0.07,3301,189
343256,-0.06,3248,10
343297,-0.02,3011,-99
343338,-0.08,2779,-197
343379,-0.09,2614,-315
343420,-0.09,2523,-440
343461,-0.08,2516,-544
343502,-0.06,2543,-601
343543,-0.34,2521,-607
343584,-0.09,2475,-580
343625,-0.09,2433,-544
343666,-0.18,2473,-505
343707,-0.16,3397,-400
343748,-0.02,4095,-121
343789,-0.19,4095,294
343830,-0.13,4095,679
343871,-0.19,4095,923
343912,-0.08,3382,974
343953,-0.12,3058,801
343994,-0.16,2959,480
344035,-0.08,2985,155
344076,-0.12,2934,-85
344117,-0.06,2766,-237
344158,-0.10,2592,-342
344199,-0.14,2523,-427
344240,-0.06,2464,-494
344281,-0.08,2423,-536
344322,-0.11,2447,-549
344363,-0.09,2448,-533
344404,-0.05,2377,-498
344445,-0.09,2349,-463
344486,-0.11,2855,-400
344527,0.03,4095,-188
344568,-0.11,4095,216
344609,-0.14,4095,652
344650,-0.05,4095,956
344691,-0.13,3673,1072
344732,-0.13,3173,969
344773,-0.09,2937,684
344814,-0.16,2918,334
344855,-0.13,2875,34
344896,-0.15,2863,-167
344937,-0.16,2761,-279
344978,-0.15,2640,-340
345019,-0.09,2527,-385
345060,-0.13,2526,-425
345101,-0.10,2541,-446
345142,-0.09,2506,-443
345183,-0.11,2452,-427
345224,-0.12,2649,-395
345265,-0.10,3918,-252
345306,-0.08,4095,86
345347,-0.05,4095,503
345388,-0.13,4095,825
345429,-0.13,3983,990
345470,-0.17,3409,970
345511,-0.11,3023,755
345552,0.00,2881,415
345593,-0.02,2859,72
345634,-0.07,2733,-194
345675,-0.14,2582,-376
345716,-0.17,2470,-501
345757,-0.14,2394,-584
345798,-0.14,2380,-632
345839,-0.14,2370,-644
345880,-0.20,2349,-627
345921,-0.03,2321,-593
345962,-0.12,2310,-551
346003,-0.23,2320,-507
346044,-0.12,2736,-432
346085,-0.06,4095,-212
