Time,Pressure,rawPPGSignal,PPGSignal
176258,26.78,2003,129
176307,25.31,2091,529
176356,24.16,2137,1043
176405,22.91,2126,1430
176454,21.46,2089,1615
176503,20.45,1991,1613
176552,19.32,2001,1481
176601,18.20,2069,1295
176650,17.48,2033,1111
176699,16.65,2139,951
176748,15.90,2407,843
176797,15.12,2672,812
176846,14.47,2628,836
176895,13.80,2345,832
176944,12.98,2263,739
176993,12.31,2333,583
177042,11.59,2413,428
177091,10.77,2353,304
177139,9.77,2335,200
177188,8.90,2311,106
177237,3.29,2320,19
177286,2.60,2349,-54
177335,2.48,2397,-109
177384,2.50,2403,-147
177433,2.35,2451,-173
177482,2.31,2867,-167
177531,2.23,3124,-89
177580,2.20,2976,28
177629,2.10,2702,88
177678,2.02,2512,33
177727,1.99,2544,-106
177776,1.96,2625,-253
177825,1.79,2685,-353
177874,1.74,2626,-403
177923,1.73,2559,-433
177972,1.67,2597,-462
178021,1.54,2608,-483
178070,1.51,2595,-495
178119,1.47,2766,-491
178168,1.28,3210,-434
178217,1.35,3362,-297
178266,1.22,3082,-147
178315,1.15,2795,-89
178364,1.09,2725,-154
178413,1.05,2823,-274
178462,0.92,2939,-369
178511,0.91,2899,-410
178560,0.95,2789,-424
178609,0.79,2711,-446
178658,0.78,2723,-479
178707,0.77,2691,-511
178756,0.60,2910,-518
178805,0.54,3391,-453
178854,0.51,3329,-304
178903,0.49,2913,-173
178952,0.59,2668,-164
179001,0.45,2623,-268
179050,0.41,2742,-399
179099,0.33,2686,-489
179148,0.34,2610,-535
179197,0.31,2448,-568
179246,0.29,2551,-596
179295,0.25,2494,-605
179344,0.26,2559,-590
179393,0.26,3107,-519
179442,0.26,3477,-339
179491,0.39,3195,-101
179540,0.48,2930,57
179589,0.48,2683,67
179638,0.46,2789,-27
179687,0.49,2928,-128
179736,0.30,2907,-178
179785,0.11,2781,-192
179834,0.03,2695,-209
179883,0.04,2646,-241
179932,0.06,2659,-276
179981,0.16,3666,-232
180030,0.06,4095,-9
180079,0.19,3893,322
180128,0.11,3095,537
180177,0.09,2775,492
180226,0.04,2883,262
180275,0.13,3090,29
180324,0.08,3050,-106
180373,0.07,2868,-169
180422,0.00,2737,-218
180471,-0.03,2725,-273
180520,0.04,2831,-313
180569,0.09,3520,-271
180618,-0.00,4095,-72
180667,0.00,4095,244
180716,0.02,3325,493
180765,-0.03,2902,500
180814,0.04,2863,293
180863,-0.02,3012,35
180912,-0.08,3031,-150
180961,-0.04,2942,-246
181010,-0.01,2789,-296
181059,0.00,2759,-336
181108,-0.06,2765,-366
181157,-0.05,3157,-353
181206,-0.08,4095,-207
181255,-0.06,4095,94
181304,-0.01,3440,381
181353,0.05,2926,448
181402,-0.05,2816,285
181451,-0.12,3031,40
181500,-0.03,3152,-135
181549,-0.19,3008,-212
181598,-0.18,2879,-243
181647,-0.09,2711,-280
181696,0.00,2756,-330
181745,-0.05,2832,-362
181794,-0.09,3479,-315
181843,-0.11,4095,-117
181892,-0.05,4095,203
181941,-0.05,3369,462
181990,-0.07,2903,485
182039,-0.10,2959,296
182088,-0.10,3190,67
182137,-0.10,3171,-79
182186,-0.20,2973,-151
182235,-0.25,2783,-209
182284,-0.12,2800,-277
182333,-0.11,2781,-334
182382,-0.06,2765,-364
182431,-0.10,3089,-349
182480,-0.10,4095,-206
182529,-0.15,4095,97
182578,-0.06,3879,421
182627,-0.10,3040,563
182676,-0.20,2815,444
182725,-0.10,2993,178
182774,-0.15,3168,-49
182823,-0.12,3025,-170
182872,-0.11,2864,-228
182921,-0.12,2770,-276
182970,-0.20,2735,-325
183019,-0.06,2758,-361
183068,-0.21,2812,-368
183117,-0.08,3797,-281
183166,-0.21,4095,-26
183215,-0.18,4095,319
183264,-0.17,3250,553
183313,-0.15,2815,525
183362,-0.17,2919,290
183411,-0.12,3105,35
183460,-0.18,3063,-123
183509,-0.16,2847,-203
183558,-0.22,2767,-262
