Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
14828,-0.18,2967,191,0
14863,-0.18,3003,778,0
14899,-0.24,2987,1515,0
14935,-0.19,2949,2046,0
14971,-0.20,2942,2282,0
15007,-0.22,2954,2271,0
15043,-0.23,2945,2106,0
15079,-0.13,2947,1870,0
15115,-0.21,2951,1619,0
15151,-0.20,3035,1389,0
15187,-0.13,3231,1209,0
15223,-0.12,3361,1095,0
15259,-0.14,3287,1018,0
15295,-0.23,3136,924,0
15331,-0.15,3027,777,0
15367,-0.18,2999,587,0
15403,-0.12,3008,392,0
15439,-0.12,3001,220,0
15475,-0.16,3002,80,0
15511,-0.20,3021,-30,0
15547,-0.10,3025,-115,0
15583,-0.18,3015,-184,0
15619,-0.22,2993,-247,0
15655,-0.23,2970,-310,0
15691,-0.19,2965,-374,0
15727,-0.21,2967,-433,0
15763,-0.24,2964,-483,0
15799,-0.23,2953,-526,0
15835,-0.19,2959,-561,0
15871,-0.14,2969,-588,0
15907,-0.19,2980,-606,0
15943,-0.28,2977,-618,0
15979,-0.22,2967,-626,0
16015,-0.20,2960,-634,0
16051,-0.32,2960,-643,0
16087,-0.18,2959,-650,0
16123,-0.23,2975,-652,0
16159,-0.25,2997,-647,0
16195,-0.15,3115,-628,0
16231,-0.14,3265,-580,0
16267,-0.19,3286,-506,0
16303,-0.22,3177,-439,0
16339,-0.29,3070,-415,0
16375,-0.17,3013,-439,0
16411,-0.27,3001,-490,0
16447,-0.19,2997,-540,0
16483,-0.12,3009,-571,0
16519,-0.17,3013,-580,0
16555,-0.22,3027,-569,0
16591,-0.24,3035,-546,0
16627,-0.15,3018,-519,0
16663,-0.08,2992,-495,0
16699,-0.26,2985,-480,0
16735,-0.16,2979,-468,0
16771,-0.19,2978,-458,0
16807,-0.26,2963,-446,0
16843,-0.13,2970,-432,0
16879,-0.15,2975,-414,0
16915,-0.21,2970,-394,0
16951,-0.16,2974,-372,0
16987,-0.14,2995,-348,0
17023,-0.16,2993,-321,0
17059,-0.21,2971,-296,0
17095,-0.18,2965,-277,0
17131,-0.24,2967,-263,0
17167,-0.20,2971,-250,0
17203,-0.19,3019,-231,0
17239,-0.22,3152,-197,0
17275,-0.15,3297,-133,0
17311,-0.23,3282,-47,0
17347,-0.18,3173,21,0
17383,-0.25,3083,42,0
17419,-0.25,3029,15,0
17455,-0.21,3019,-36,0
17491,-0.18,3003,-86,0
17527,-0.18,3019,-121,0
17563,-0.23,3045,-134,0
17599,-0.15,3051,-127,0
17635,-0.16,3041,-109,0
17671,-0.23,3013,-93,0
17707,-0.27,2992,-85,0
17743,-0.20,2974,-85,0
17779,-0.29,2983,-89,0
17815,-0.20,2979,-91,0
17851,-0.21,3007,-87,0
17887,-0.29,3008,-75,0
17923,-0.29,2999,-60,0
17959,-0.24,2992,-47,0
17995,-0.24,2992,-38,0
18031,-0.33,2969,-34,0
18067,-0.16,2975,-33,0
18103,-0.17,2960,-33,0
18139,-0.19,2993,-32,0
18175,-0.22,3115,-16,0
18211,-0.15,3297,29,0
18247,-0.22,3349,109,0
18283,-0.09,3239,188,0
18319,-0.15,3094,218,0
18355,-0.14,3031,187,0
18391,-0.12,3018,120,0
18427,-0.13,3030,51,0
18463,-0.18,3042,3,0
18499,-0.15,3062,-19,0
18535,-0.22,3071,-20,0
18571,-0.17,3056,-10,0
18607,-0.22,3019,-3,0
18643,-0.21,3007,-4,0
18679,-0.14,2990,-14,0
18715,-0.09,2992,-25,0
18751,-0.13,2983,-34,0
18787,-0.11,2986,-40,0
18823,-0.20,2989,-41,0
18859,-0.20,3007,-36,0
18895,-0.13,3030,-26,0
18931,-0.13,3045,-10,0
18967,-0.22,3015,4,0
19003,-0.08,2977,10,0
19039,-0.16,2928,1,0
19075,-0.20,2935,-18,0
19111,-0.23,2977,-35,0
19147,-0.22,3136,-28,0
19183,-0.19,3396,27,0
19219,-0.16,3520,135,0
19255,-0.18,3383,253,0
19291,-0.03,3200,311,0
19327,-0.19,3120,285,0
19363,-0.15,3110,204,0
19399,-0.16,3097,114,0
19435,-0.15,3095,41,0
19471,-0.16,3091,-5,0
19507,-0.21,3059,-33,0
19543,-0.17,3065,-48,0
19579,-0.21,3053,-56,0
19615,-0.18,3028,-61,0
19651,-0.11,3024,-66,0
19687,-0.15,3010,-72,0
19723,-0.14,3003,-78,0
19759,-0.15,3008,-82,0
19795,-0.16,3003,-82,0
19831,-0.08,2997,-80,0
19867,-0.09,2986,-77,0
19903,-0.19,2997,-75,0
19939,-0.11,3008,-70,0
19975,-0.19,3017,-60,0
20011,-0.14,3026,-48,0
20047,-0.15,3013,-37,0
20083,-0.17,3011,-28,0
20119,-0.13,3038,-22,0
20155,-0.18,3237,-2,0
20191,-0.13,3502,62,0
20227,-0.16,3565,174,0
20263,-0.15,3390,280,0
20299,-0.11,3243,317,0
20335,-0.12,3199,276,0
20371,-0.14,3184,194,0
20407,-0.11,3149,109,0
20443,-0.17,3118,36,0
20479,-0.21,3100,-19,0
20515,-0.15,3119,-55,0
20551,-0.16,3099,-73,0
20587,-0.15,3056,-82,0
20623,-0.13,3027,-93,0
20659,-0.16,3029,-106,0
20695,-0.18,3015,-116,0
20731,-0.11,2997,-124,0
20767,-0.28,3006,-127,0
20803,-0.17,3007,-126,0
20839,-0.17,3016,-119,0
20875,-0.14,3011,-108,0
20911,-0.17,3003,-97,0
20947,-0.16,2996,-89,0
20983,-0.16,2982,-83,0
21019,-0.22,2992,-80,0
21055,-0.18,2986,-77,0
21091,-0.18,3005,-71,0
21127,-0.17,2992,-62,0
21163,-0.20,3099,-46,0
21199,-0.13,3375,0,0
21235,-0.17,3632,103,0
21271,-0.15,3527,239,0
21307,-0.20,3295,330,0
21343,-0.09,3152,323,0
21379,-0.12,3110,236,0
21415,-0.18,3088,123,0
21451,-0.20,3063,23,0
21487,-0.13,3091,-46,0
21523,-0.17,3111,-79,0
21559,-0.16,3088,-85,0
21595,-0.21,3043,-82,0
21631,-0.18,3007,-84,0
21667,-0.17,3008,-93,0
21703,-0.23,3008,-103,0
21739,-0.25,2994,-108,0
21775,-0.23,2997,-110,0
21811,-0.17,2997,-107,0
21847,-0.22,2993,-100,0
21883,-0.20,2992,-92,0
21919,-0.23,2975,-85,0
21955,-0.05,2977,-80,0
21991,-0.17,2974,-76,0
22027,-0.20,2991,-70,0
22063,-0.14,2980,-61,0
22099,-0.23,2978,-53,0
22135,-0.15,2992,-44,0
22171,-0.18,2977,-36,0
22207,-0.22,2987,-29,0
22243,-0.15,3101,-15,0
22279,-0.16,3362,30,0
22315,-0.10,3546,127,0
22351,-0.07,3440,246,0
22387,-0.13,3229,317,0
22423,-0.14,3110,299,0
22459,-0.19,3061,214,0
22495,-0.19,3050,108,0
22531,-0.17,3034,18,0
22567,-0.23,3052,-41,0
22603,-0.09,3071,-69,0
22639,-0.13,3086,-71,0
22675,-0.22,3062,-58,0
22711,-0.12,3027,-48,0
22747,-0.13,2988,-49,0
22783,-0.11,2967,-61,0
22819,-0.14,2976,-78,0
22855,-0.18,2986,-88,0
22891,-0.19,2999,-89,0
22927,-0.16,2995,-81,0
22963,-0.19,2990,-69,0
22999,-0.15,2966,-61,0
23035,-0.13,2948,-59,0
23071,-0.20,2966,-60,0
23107,-0.21,2977,-59,0
23143,-0.17,2983,-52,0
23179,0.01,2983,-41,0
23215,-0.14,2979,-31,0
23251,-0.16,2995,-21,0
23287,-0.15,3120,-4,0
23323,-0.10,3369,44,0
23359,-0.16,3474,137,0
23395,-0.09,3339,238,0
23431,-0.17,3150,282,0
23467,-0.12,3051,246,0
23503,-0.18,3026,158,0
23539,-0.14,3023,62,0
23575,-0.22,3024,-11,0
23611,-0.17,3045,-53,0
23647,-0.26,3055,-67,0
23683,-0.18,3051,-62,0
23719,-0.26,3030,-51,0
23755,-0.12,3019,-44,0
23791,-0.14,2994,-44,0
23827,-0.21,2978,-51,0
23863,-0.11,2986,-60,0
23899,-0.25,2961,-67,0
23935,-0.23,2957,-73,0
23971,-0.13,2989,-75,0
24007,-0.16,2973,-69,0
24043,-0.12,2972,-61,0
24079,-0.21,2959,-54,0
24115,-0.24,2951,-51,0
24151,-0.19,2944,-50,0
24187,-0.20,2950,-49,0
24223,-0.10,2955,-47,0
24259,-0.20,2951,-42,0
24295,-0.25,2974,-35,0
24331,-0.23,3139,-13,0
24367,-0.18,3357,43,0
24403,-0.18,3378,138,0
24439,-0.21,3213,221,0
24475,-0.11,3061,240,0
24511,-0.06,2995,190,0
24547,-0.21,2987,104,0
24583,-0.15,3000,23,0
24619,-0.23,3018,-29,0
24655,-0.18,3063,-49,0
24691,-0.22,3071,-42,0
24727,-0.17,3033,-25,0
24763,-0.14,3009,-14,0
24799,-0.16,2971,-17,0
24835,-0.14,2970,-30,0
24871,-0.21,2960,-46,0
24907,-0.05,2975,-57,0
24943,-0.13,2995,-59,0
24979,-0.18,2989,-53,0
25015,-0.19,2967,-44,0
25051,-0.18,2954,-40,0
25087,-0.20,2957,-41,0
25123,-0.17,2965,-42,0
25159,-0.30,2969,-39,0
25195,-0.13,3041,-30,0
25231,-0.16,3227,2,0
25267,-0.17,3386,72,0
25303,-0.20,3333,164,0
25339,-0.15,3155,224,0
25375,-0.29,3031,215,0
25411,-0.18,2973,145,0
25447,-0.21,2960,54,0
25483,-0.21,3003,-23,0
25519,-0.16,3055,-63,0
25555,-0.17,3071,-66,0
25591,-0.23,3042,-49,0
25627,-0.23,2998,-34,0
25663,-0.23,2966,-34,0
25699,-0.20,2960,-45,0
25735,-0.20,2963,-60,0
25771,-0.27,2973,-69,0
25807,-0.28,2978,-70,0
25843,-0.14,2987,-64,0
25879,-0.19,2973,-55,0
25915,-0.13,2978,-47,0
25951,-0.12,2975,-40,0
25987,-0.19,2980,-35,0
26023,-0.15,2969,-31,0
26059,-0.09,3052,-23,0
26095,-0.18,3275,8,0
26131,-0.20,3459,86,0
26167,-0.21,3403,191,0
26203,-0.29,3221,263,0
26239,-0.20,3109,260,0
26275,-0.22,3056,193,0
26311,-0.19,3034,102,0
26347,-0.20,3023,18,0
26383,-0.27,3029,-41,0
26419,-0.22,3069,-71,0
26455,-0.23,3063,-74,0
26491,-0.22,3039,-65,0
26527,-0.18,3008,-59,0
26563,-0.19,2981,-61,0
26599,-0.24,2973,-71,0
26635,-0.17,2999,-81,0
26671,-0.20,2985,-84,0
26707,-0.17,2981,-82,0
26743,-0.12,2973,-79,0
26779,-0.22,2974,-76,0
26815,-0.16,2983,-71,0
26851,-0.26,2985,-64,0
26887,-0.18,2979,-56,0
26923,-0.21,2985,-49,0
26959,-0.20,2972,-43,0
26995,-0.26,3037,-35,0
