Time,Pressure,rawPPGSignal,PPGSignal
94722,25.55,4095,264
94771,23.95,4095,1071
94820,22.58,3722,2055
94869,21.29,3325,2685
94918,20.16,3061,2831
94967,18.81,2977,2607
95016,17.76,2992,2209
95065,16.72,2944,1790
95114,15.78,2821,1416
95163,14.87,2703,1093
95212,14.04,2731,819
95261,13.06,2820,608
95310,12.11,2765,459
95359,11.01,2667,339
95408,10.05,2671,221
95456,8.90,2907,122
95505,7.83,3995,136
95554,7.39,4095,327
95603,6.78,3947,572
95652,5.62,3646,696
95701,4.27,3472,638
95750,4.05,3221,432
95799,3.81,3143,149
95848,3.63,3101,-135
95897,3.31,3015,-372
95946,3.04,2901,-556
95995,2.80,2819,-700
96044,2.51,2815,-809
96093,2.19,2830,-880
96142,1.86,2775,-915
96191,1.61,2749,-933
96240,1.41,2683,-945
96289,1.32,2721,-955
96338,1.20,3425,-908
96387,1.18,4095,-711
96436,1.05,4095,-382
96485,0.95,3771,-84
96534,0.97,3439,36
96583,0.87,3211,-38
96632,0.86,3183,-232
96681,0.71,3219,-437
96730,0.62,3088,-594
96779,0.69,2982,-707
96828,0.59,2902,-791
96877,0.55,2832,-855
96926,0.51,2832,-895
96975,0.45,2834,-908
97024,0.40,2841,-893
97073,0.39,2755,-863
97122,0.43,2867,-826
97171,0.39,3981,-703
97220,0.29,4095,-414
97269,0.36,4095,-58
97318,0.22,3774,199
97367,0.30,3517,275
97416,0.24,3362,184
97465,0.22,3267,3
97514,0.29,3185,-190
97563,0.23,3058,-357
97612,0.16,2894,-493
97661,0.19,2753,-608
97710,0.19,2702,-702
97759,0.21,2626,-767
97808,0.07,2629,-799
97857,0.12,2669,-794
97906,0.13,2704,-750
97955,0.19,2787,-674
98004,0.17,3711,-520
98053,0.18,4095,-219
98102,0.17,4095,162
98151,0.08,4095,482
98200,0.11,3792,653
98249,0.14,3450,640
98298,0.11,3309,472
98347,0.13,3255,239
98396,0.18,3133,19
98445,0.10,2930,-163
98494,0.12,2852,-314
98543,0.11,2835,-426
98592,0.05,2836,-487
98641,0.04,2802,-502
98690,0.04,2743,-491
98739,0.16,2717,-472
98788,0.07,2658,-454
98837,0.07,3181,-405
98886,0.06,4095,-223
98935,0.12,4095,112
98984,0.05,4095,466
99033,0.00,3850,695
99082,0.11,3535,741
99131,0.02,3405,622
99180,-0.00,3493,429
99229,0.04,3383,251
99278,-0.05,3087,97
99327,0.01,2929,-60
99376,0.06,2925,-211
99425,0.01,2974,-318
99474,-0.03,2910,-367
99523,0.11,2863,-379
99572,0.04,2857,-375
99621,-0.02,2960,-353
99670,-0.01,4023,-239
99719,-0.02,4095,29
99768,0.02,4095,356
99817,0.07,4095,603
99866,0.03,4095,733
99915,-0.03,4095,761
99964,0.03,3810,705
100013,-0.02,3662,568
100062,-0.03,3481,376
100111,-0.01,3311,165
100160,0.01,3071,-46
100209,-0.03,2960,-245
100258,-0.07,2911,-411
100307,-0.07,2906,-520
100356,-0.10,2887,-570
100405,-0.02,2822,-577
100454,-0.10,2760,-566
100503,-0.01,3376,-510
100552,-0.04,4095,-319
100601,-0.06,4095,5
100650,-0.01,4095,332
100699,-0.04,4095,554
100748,-0.03,4095,656
100797,0.00,4095,667
100846,-0.15,3873,607
100895,-0.02,3566,474
100944,-0.02,3338,270
100993,-0.01,3120,27
101042,0.05,2910,-217
101091,-0.01,2806,-435
101140,-0.04,2763,-599
101189,-0.02,2822,-689
101238,-0.04,2794,-706
101287,-0.00,2752,-676
101336,0.03,2705,-630
101385,-0.05,3357,-543
101434,-0.01,4095,-322
101483,-0.07,4095,29
101532,-0.08,4095,375
101581,-0.02,3663,580
101630,-0.04,3289,578
101679,-0.13,3216,403
101728,-0.09,3241,174
101777,-0.04,3117,-20
101826,-0.03,2970,-167
101875,-0.04,2795,-287
101924,-0.09,2637,-396
101973,-0.06,2619,-490
