Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.12,132,8,1
8465,-0.15,535,60,1
8492,-0.09,1029,204,1
8519,-0.21,1365,446,1
8546,-0.16,1492,724,1
8573,-0.19,1455,950,1
8600,-0.16,1320,1058,1
8627,-0.23,1146,1030,1
8654,-0.17,974,886,1
8681,-0.23,824,672,1
8708,-0.14,698,434,1
8735,-0.11,591,208,1
8762,-0.10,496,14,1
8789,-0.12,409,-140,1
8816,-0.07,325,-262,1
8843,-0.14,244,-355,1
8870,-0.10,166,-429,1
8897,-0.10,93,-488,1
8924,-0.11,33,-536,1
8951,-0.13,-17,-573,1
8978,-0.11,-64,-598,1
9005,-0.16,-110,-612,1
9032,-0.12,-152,-618,1
9059,-0.14,-185,-616,1
9086,-0.11,-202,-607,1
9113,-0.11,-200,-588,1
9140,-0.13,-181,-557,1
9167,-0.18,-168,-513,1
9194,-0.07,-179,-462,1
9221,-0.18,-216,-414,1
9248,-0.09,-272,-379,1
9275,-0.13,-333,-362,1
9302,-0.08,-387,-360,1
9329,-0.07,-423,-366,1
9356,-0.09,-434,-371,1
9383,-0.07,-426,-363,1
9410,-0.09,-407,-340,1
9437,-0.21,-389,-300,1
9464,-0.07,-381,-251,1
9491,-0.17,-383,-199,1
9518,-0.15,-393,-153,1
9545,-0.22,-405,-115,1
9572,-0.20,-413,-87,1
9599,-0.27,-412,-65,1
9626,-0.13,-398,-44,1
9653,-0.11,-374,-20,1
9680,-0.06,-350,9,1
9707,-0.15,-332,43,1
9734,-0.16,-322,78,1
9761,-0.15,-311,109,1
9788,-0.17,-285,136,1
9815,-0.10,-241,162,1
9842,-0.12,-185,192,1
9869,-0.15,-141,228,1
9896,-0.12,-130,264,1
9923,-0.18,-150,291,1
9950,-0.17,-187,298,1
9977,-0.15,-224,285,1
10004,-0.13,-249,255,1
10031,-0.25,-253,219,1
10058,-0.14,-237,188,1
10085,-0.18,-210,170,1
10112,-0.11,-184,166,1
10139,-0.15,-165,175,1
10166,-0.06,-159,187,1
10193,-0.05,-162,197,1
10220,-0.09,-166,199,1
10247,-0.17,-164,195,1
10274,-0.08,-155,186,1
10301,-0.17,-143,177,1
10328,-0.17,-131,171,1
10355,-0.13,-117,167,1
10382,-0.09,-104,165,1
10409,-0.14,-86,165,1
10436,-0.09,-54,168,1
10463,-0.19,-6,175,1
10490,-0.12,42,188,1
10517,-0.16,67,207,1
10544,-0.13,58,222,1
10571,-0.11,25,224,1
10598,-0.13,-14,206,1
10625,-0.13,-49,171,1
10652,-0.10,-74,126,1
10679,-0.16,-86,80,1
10706,-0.15,-86,40,1
10733,-0.18,-76,13,1
10760,-0.23,-59,0,1
10787,-0.21,-42,-3,1
10814,-0.08,-29,1,1
10841,-0.19,-21,10,1
10868,-0.14,-18,17,1
10895,-0.20,-19,21,1
10922,-0.20,-20,20,1
10949,-0.20,-22,16,1
10976,-0.11,-22,9,1
11003,-0.15,-19,1,1
11030,-0.21,-10,-4,1
11057,-0.21,13,-6,1
11084,-0.05,55,-2,1
11111,-0.19,108,12,1
11138,-0.17,154,37,1
11165,-0.18,171,66,1
11192,-0.17,153,88,1
11219,-0.12,107,94,1
11246,-0.23,52,76,1
11273,-0.23,6,39,1
11300,-0.19,-24,-9,1
11327,-0.17,-39,-57,1
11354,-0.25,-41,-94,1
11381,-0.22,-36,-117,1
11408,-0.20,-29,-126,1
11435,-0.22,-26,-124,1
11462,-0.23,-29,-116,1
11489,-0.18,-36,-107,1
11516,-0.17,-43,-101,1
11543,-0.23,-44,-98,1
11570,-0.19,-38,-95,1
11597,-0.16,-29,-91,1
11624,-0.17,-20,-85,1
11651,-0.23,-11,-75,1
11678,-0.18,3,-63,1
11705,-0.24,33,-49,1
11732,-0.27,83,-30,1
11759,-0.27,144,-1,1
11786,-0.15,192,34,1
11813,-0.21,209,73,1
11840,-0.18,193,103,1
11867,-0.30,150,114,1
11894,-0.21,91,100,1
11921,-0.20,32,64,1
11948,-0.16,-17,12,1
11975,-0.25,-47,-42,1
12002,-0.22,-60,-90,1
12029,-0.17,-61,-123,1
12056,-0.18,-56,-139,1
12083,-0.18,-51,-140,1
12110,-0.21,-48,-132,1
12137,-0.22,-50,-118,1
12164,-0.15,-55,-105,1
12191,-0.23,-59,-94,1
12218,-0.16,-63,-86,1
12245,-0.20,-67,-81,1
12272,-0.27,-68,-77,1
12299,-0.17,-68,-72,1
12326,-0.20,-67,-67,1
12353,-0.23,-62,-61,1
12380,-0.19,-44,-53,1
12407,-0.29,0,-38,1
12434,-0.17,67,-14,1
12461,-0.17,143,24,1
12488,-0.21,202,74,1
12515,-0.20,228,127,1
12542,-0.17,217,168,1
12569,-0.26,174,186,1
12596,-0.22,110,176,1
12623,-0.17,39,137,1
12650,-0.18,-22,78,1
12677,-0.21,-64,12,1
12704,-0.28,-87,-48,1
12731,-0.23,-92,-94,1
12758,-0.25,-89,-120,1
12785,-0.22,-88,-129,1
12812,-0.26,-91,-125,1
12839,-0.24,-93,-114,1
12866,-0.21,-94,-103,1
12893,-0.25,-93,-91,1
12920,-0.24,-92,-80,1
12947,-0.26,-93,-70,1
12974,-0.20,-92,-62,1
13001,-0.25,-90,-54,1
13028,-0.15,-86,-46,1
13055,-0.14,-77,-37,1
13082,-0.25,-67,-27,1
13109,-0.23,-58,-16,1
13136,-0.28,-50,-4,1
13163,-0.21,-27,8,1
13190,-0.17,25,24,1
13217,-0.23,103,51,1
13244,-0.28,184,91,1
13271,-0.20,239,142,1
13298,-0.23,251,192,1
13325,-0.23,223,226,1
13352,-0.22,164,231,1
13379,-0.27,89,204,1
13406,-0.21,14,149,1
13433,-0.21,-45,78,1
13460,-0.21,-79,4,1
13487,-0.29,-87,-57,1
13514,-0.27,-83,-98,1
13541,-0.22,-78,-117,1
13568,-0.24,-77,-118,1
13595,-0.25,-82,-110,1
13622,-0.15,-89,-99,1
13649,-0.22,-96,-89,1
13676,-0.22,-100,-83,1
13703,-0.21,-104,-78,1
13730,-0.16,-106,-75,1
13757,-0.27,-102,-71,1
13784,-0.14,-99,-65,1
13811,-0.20,-96,-57,1
13838,-0.23,-87,-48,1
13865,-0.31,-75,-38,1
13892,-0.24,-64,-25,1
13919,-0.23,-56,-12,1
13946,-0.16,-48,0,1
13973,-0.27,-27,13,1
14000,-0.23,21,28,1
14027,-0.23,97,52,1
14054,-0.20,177,89,1
14081,-0.25,230,138,1
14108,-0.23,243,185,1
14135,-0.25,215,218,1
14162,-0.19,157,223,1
14189,-0.19,88,196,1
14216,-0.22,24,144,1
14243,-0.22,-24,77,1
14270,-0.18,-52,10,1
14297,-0.19,-63,-44,1
14324,-0.22,-61,-81,1
14351,-0.30,-58,-100,1
14378,-0.23,-59,-103,1
14405,-0.28,-63,-98,1
14432,-0.23,-72,-90,1
14459,-0.21,-83,-84,1
14486,-0.29,-93,-81,1
14513,-0.19,-100,-81,1
14540,-0.26,-99,-81,1
14567,-0.14,-92,-79,1
14594,-0.22,-82,-74,1
14621,-0.26,-74,-64,1
14648,-0.24,-68,-51,1
14675,-0.28,-62,-39,1
14702,-0.09,-55,-26,1
14729,-0.18,-47,-15,1
14756,-0.21,-28,-4,1
14783,-0.18,12,9,1
14810,-0.20,81,30,1
14837,-0.21,160,65,1
14864,-0.22,218,111,1
14891,-0.19,234,159,1
14918,-0.15,206,194,1
14945,-0.24,150,202,1
14972,-0.10,84,179,1
14999,-0.23,20,130,1
15026,-0.17,-26,67,1
15053,-0.28,-52,3,1
15080,-0.17,-59,-49,1
15107,-0.24,-54,-83,1
15134,-0.26,-45,-99,1
15161,-0.32,-37,-98,1
15188,-0.26,-33,-88,1
15215,-0.27,-34,-74,1
15242,-0.23,-39,-62,1
15269,-0.30,-45,-54,1
15296,-0.27,-47,-49,1
15323,-0.30,-47,-47,1
15350,-0.13,-47,-46,1
15377,-0.22,-45,-43,1
15404,-0.15,-43,-40,1
15431,-0.28,-43,-36,1
15458,-0.19,-42,-31,1
15485,0.02,-33,-26,1
15512,0.75,-6,-19,1
15539,0.84,38,-5,1
15566,0.81,95,18,1
15593,0.71,151,51,1
15620,1.27,189,91,1
15647,1.31,194,128,1
15674,1.21,165,151,1
15701,1.58,111,151,1
15728,1.63,52,126,1
15755,1.80,4,81,1
15782,1.65,-30,27,1
15809,1.86,-47,-23,1
15836,1.90,-50,-62,1
15863,2.01,-45,-85,1
15890,1.99,-38,-93,1
15917,2.29,-33,-89,1
15944,2.08,-33,-79,1
15971,2.53,-38,-68,1
15998,2.36,-49,-59,1
16025,2.73,-61,-55,1
16052,2.50,-71,-56,1
16079,2.98,-75,-59,1
16106,2.57,-72,-61,1
16133,3.16,-66,-60,1
16160,2.88,-61,-56,1
16187,3.36,-59,-48,1
16214,3.04,-56,-39,1
16241,3.68,-36,-29,1
16268,3.27,9,-15,1
16295,3.86,77,8,1
16322,3.44,143,44,1
16349,3.96,183,90,1
16376,3.58,188,133,1
16403,4.36,157,160,1
16430,3.97,101,162,1
16457,4.52,38,137,1
16484,4.04,-15,90,1
16511,4.45,-49,33,1
16538,3.99,-59,-19,1
16565,4.51,-52,-58,1
16592,4.04,-40,-78,1
16619,4.56,-34,-80,1
16646,4.22,-36,-72,1
16673,4.85,-41,-62,1
16700,4.50,-47,-52,1
16727,5.03,-49,-47,1
16754,4.70,-50,-43,1
16781,5.22,-50,-41,1
16808,5.08,-48,-39,1
16835,5.48,-44,-35,1
16862,5.32,-40,-30,1
16889,5.65,-37,-24,1
16916,5.66,-29,-18,1
16943,5.96,-2,-9,1
16970,5.96,48,4,1
16997,6.11,113,29,1
17024,6.34,165,65,1
17051,6.34,180,105,1
17078,6.63,158,136,1
17105,6.55,114,147,1
17132,6.94,65,132,1
17159,6.78,20,97,1
17186,7.12,-19,50,1
17213,6.84,-51,1,1
17240,7.50,-72,-41,1
17267,7.08,-80,-75,1
17294,7.50,-79,-95,1
17321,7.23,-73,-102,1
17348,7.82,-70,-99,1
