Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8925,-0.51,91,5,1
8952,-0.66,369,41,1
8979,1.61,729,142,1
9006,0.61,1046,318,1
9033,1.31,1378,547,1
9060,1.41,1819,806,1
9087,1.57,2302,1086,1
9114,1.75,2647,1375,1
9141,2.28,2761,1627,1
9168,2.43,2675,1775,1
9195,2.19,2458,1771,1
9222,2.49,2063,1600,1
9249,2.39,1326,1254,1
9276,2.37,291,715,1
9303,2.93,-735,-13,1
9330,2.69,-1439,-854,1
9357,2.97,-1663,-1649,1
9384,3.34,-1463,-2223,1
9411,3.05,-1036,-2457,1
9438,3.57,-614,-2345,1
9465,3.64,-356,-1984,1
9492,3.46,-321,-1527,1
9519,4.08,-469,-1122,1
9546,3.79,-709,-861,1
9573,4.03,-943,-766,1
9600,4.56,-1102,-796,1
9627,4.28,-1157,-881,1
9654,4.59,-1116,-950,1
9681,4.90,-1011,-956,1
9708,4.70,-878,-881,1
9735,5.21,-747,-738,1
9762,5.20,-618,-552,1
9789,5.06,-427,-345,1
9816,5.64,-40,-117,1
9843,5.57,557,162,1
9870,5.57,1139,524,1
9897,6.04,1508,941,1
9924,5.97,1641,1333,1
9951,6.04,1596,1611,1
9978,6.48,1353,1716,1
10005,6.20,778,1613,1
10032,6.52,-125,1277,1
10059,6.90,-1106,705,1
10086,6.58,-1844,-34,1
10113,7.02,-2143,-796,1
10140,7.26,-1993,-1396,1
10167,7.02,-1546,-1691,1
10194,7.37,-1018,-1638,1
10221,7.54,-601,-1302,1
10248,7.37,-396,-819,1
10275,7.91,-401,-347,1
10302,7.92,-547,0,1
10329,7.78,-738,171,1
10356,8.19,-899,184,1
10383,8.27,-981,97,1
10410,7.99,-970,-17,1
10437,8.66,-880,-98,1
10464,8.43,-743,-113,1
10491,8.44,-588,-54,1
10518,9.02,-442,60,1
10545,8.83,-318,205,1
10572,8.91,-187,353,1
10599,9.40,56,497,1
10626,9.09,519,660,1
10653,9.35,1130,885,1
10680,9.83,1658,1193,1
10707,9.56,1958,1541,1
10734,9.59,2035,1843,1
10761,10.17,1953,2016,1
10788,9.84,1763,2020,1
10815,10.04,1369,1851,1
10842,10.36,623,1504,1
10869,10.10,-358,965,1
10896,10.26,-1234,250,1
10923,10.69,-1726,-540,1
10950,10.41,-1753,-1241,1
10977,10.67,-1425,-1690,1
11004,10.89,-955,-1804,1
11031,10.75,-546,-1609,1
11058,10.94,-320,-1221,1
11085,11.31,-300,-791,1
11112,11.11,-428,-445,1
11139,11.45,-610,-250,1
11166,11.74,-767,-205,1
11193,11.45,-849,-262,1
11220,11.80,-842,-353,1
11247,12.16,-760,-419,1
11274,11.85,-629,-424,1
11301,12.13,-476,-360,1
11328,12.53,-326,-239,1
11355,12.23,-198,-87,1
11382,12.62,-99,68,1
11409,12.94,8,209,1
11436,12.58,235,334,1
11463,12.93,682,476,1
11490,13.18,1279,682,1
11517,12.85,1796,976,1
11544,13.09,2088,1316,1
11571,13.55,2157,1614,1
11598,13.34,2068,1788,1
11625,13.54,1802,1792,1
11652,13.91,1222,1602,1
11679,13.61,320,1200,1
11706,13.70,-657,582,1
11733,14.37,-1394,-188,1
11760,14.11,-1693,-969,1
11787,14.11,-1553,-1583,1
11814,14.61,-1132,-1894,1
11841,14.50,-648,-1862,1
11868,14.42,-282,-1555,1
11895,14.98,-126,-1112,1
11922,14.90,-172,-682,1
11949,14.85,-349,-376,1
11976,15.28,-556,-237,1
12003,15.43,-714,-245,1
12030,15.13,-783,-337,1
12057,15.59,-758,-441,1
12084,15.76,-660,-501,1
12111,15.50,-523,-489,1
12138,15.80,-378,-405,1
12165,16.32,-247,-270,1
12192,15.85,-115,-111,1
12219,16.03,86,53,1
12246,16.47,473,234,1
12273,16.40,1048,464,1
12300,16.28,1613,771,1
12327,16.79,1982,1133,1
12354,16.74,2114,1474,1
12381,16.53,1954,1700,1
12408,16.88,1396,1724,1
12435,17.13,517,1479,1
12462,16.71,-421,955,1
12489,17.05,-1155,227,1
12516,17.50,-1515,-550,1
12543,17.17,-1470,-1199,1
12570,17.24,-1126,-1577,1
12597,17.77,-658,-1627,1
12624,17.65,-241,-1392,1
12651,17.59,11,-985,1
12678,18.19,66,-547,1
12705,18.22,-36,-197,1
12732,17.88,-220,0,1
12759,18.26,-403,40,1
12786,18.69,-529,-34,1
12813,18.46,-579,-158,1
12840,18.58,-562,-272,1
12867,19.20,-498,-337,1
12894,19.09,-385,-336,1
12921,18.81,-183,-269,1
12948,19.41,170,-130,1
12975,19.58,699,91,1
13002,19.29,1297,410,1
13029,19.51,1742,802,1
13056,20.02,1833,1189,1
13083,19.86,1505,1450,1
13110,19.82,855,1471,1
13137,20.30,74,1202,1
13164,20.53,-636,682,1
13191,20.20,-1104,30,1
13218,20.55,-1248,-598,1
13245,21.12,-1094,-1058,1
13272,20.73,-748,-1262,1
13299,20.76,-354,-1198,1
13326,21.35,-38,-931,1
13353,21.57,126,-566,1
13380,21.22,130,-217,1
13407,21.48,15,32,1
13434,21.96,-152,145,1
13461,21.83,-309,131,1
13488,21.77,-412,34,1
13515,22.48,-451,-90,1
13542,22.62,-421,-195,1
13569,22.18,-295,-245,1
13596,22.48,-20,-216,1
13623,23.08,438,-85,1
13650,22.96,1017,162,1
13677,22.79,1515,515,1
13704,23.25,1699,905,1
13731,23.65,1467,1212,1
13758,23.41,898,1310,1
13785,23.46,172,1132,1
13812,24.09,-514,698,1
13839,24.20,-1000,108,1
13866,23.60,-1202,-490,1
13893,24.11,-1123,-958,1
13920,24.56,-842,-1201,1
13947,24.60,-478,-1194,1
13974,24.26,-151,-980,1
14001,24.79,58,-648,1
14028,25.15,122,-301,1
14055,25.09,63,-25,1
14082,24.99,-66,131,1
14109,25.48,-211,165,1
14136,25.70,-327,106,1
14163,25.35,-393,0,1
14190,25.59,-407,-108,1
14217,26.26,-366,-184,1
14244,26.28,-240,-207,1
14271,26.01,39,-159,1
14298,26.04,524,-17,1
14325,26.61,1132,240,1
14352,26.64,1649,603,1
14379,26.35,1881,1005,1
14406,26.47,1712,1331,1
14433,27.10,1161,1454,1
14460,27.11,395,1295,1
14487,26.92,-369,858,1
14514,27.22,-948,236,1
14541,27.88,-1238,-424,1
14568,27.91,-1229,-970,1
14595,27.73,-992,-1293,1
14622,27.78,-640,-1352,1
14649,28.45,-298,-1180,1
14676,28.75,-55,-860,1
14703,28.53,46,-498,1
14730,28.56,15,-188,1
14757,29.10,-105,10,1
14784,29.41,-257,82,1
14811,29.20,-388,48,1
14838,28.97,-466,-45,1
14865,29.64,-483,-152,1
14892,30.21,-449,-230,1
14919,30.13,-383,-259,1
14946,29.91,-284,-236,1
14973,30.14,-106,-162,1
15000,30.69,221,-35,1
15027,30.84,717,163,1
15054,30.56,1274,450,1
15081,30.58,1670,805,1
15108,31.18,1710,1151,1
15135,31.51,1347,1370,1
15162,31.20,702,1356,1
15189,30.91,-27,1069,1
15216,31.36,-656,559,1
15243,31.94,-1058,-55,1
15270,31.97,-1190,-629,1
15297,31.74,-1078,-1041,1
15324,31.74,-804,-1222,1
15351,32.22,-477,-1170,1
15378,32.62,-197,-940,1
15405,32.62,-28,-619,1
15432,32.39,12,-301,1
15459,32.81,-51,-57,1
15486,33.40,-171,74,1
15513,33.67,-296,98,1
15540,33.46,-389,43,1
