Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,0.01,119,7,1
8465,0.02,582,61,1
8492,0.75,1385,233,1
8519,1.61,2232,581,1
8546,1.95,2831,1076,1
8573,2.21,3082,1600,1
8600,3.29,3042,2004,1
8627,2.46,2817,2185,1
8654,3.73,2445,2111,1
8681,3.21,1808,1798,1
8708,4.21,829,1264,1
8735,4.19,-278,523,1
8762,4.23,-1141,-362,1
8789,5.12,-1517,-1250,1
8816,4.52,-1422,-1954,1
8843,5.72,-1074,-2331,1
8870,5.02,-723,-2349,1
8897,6.02,-537,-2096,1
8924,5.91,-558,-1722,1
8951,6.14,-720,-1376,1
8978,6.77,-924,-1146,1
9005,6.34,-1082,-1046,1
9032,7.40,-1148,-1035,1
9059,6.60,-1115,-1050,1
9086,7.70,-1003,-1033,1
9113,7.19,-853,-952,1
9140,7.83,-700,-806,1
9167,8.00,-571,-614,1
9194,7.76,-472,-407,1
9221,8.61,-341,-207,1
9248,8.12,-6,-13,1
9275,9.11,586,220,1
9302,8.44,1198,539,1
9329,9.23,1598,933,1
9356,9.10,1753,1323,1
9383,9.37,1715,1612,1
9410,9.75,1474,1731,1
9437,9.36,891,1639,1
9464,10.42,-50,1304,1
9491,9.56,-1094,719,1
9518,10.66,-1883,-51,1
9545,10.06,-2185,-851,1
9572,10.71,-1990,-1481,1
9599,10.55,-1486,-1784,1
9626,10.66,-938,-1715,1
9653,11.10,-551,-1352,1
9680,10.73,-408,-853,1
9707,11.46,-472,-386,1
9734,10.86,-639,-63,1
9761,11.74,-809,79,1
9788,11.20,-914,78,1
9815,11.90,-925,2,1
9842,11.88,-850,-76,1
9869,11.94,-719,-105,1
9896,12.48,-572,-67,1
9923,12.01,-436,30,1
9950,12.87,-317,162,1
9977,12.28,-171,303,1
10004,13.06,141,453,1
10031,12.50,690,640,1
10058,13.22,1296,907,1
10085,12.95,1735,1248,1
10112,13.29,1938,1597,1
10139,13.40,1865,1858,1
10166,13.41,1414,1938,1
10193,13.90,586,1759,1
10220,13.51,-395,1291,1
10247,14.30,-1232,582,1
10274,13.80,-1695,-226,1
10301,14.59,-1701,-946,1
10328,14.12,-1338,-1407,1
10355,14.60,-809,-1521,1
10382,14.45,-333,-1313,1
10409,14.95,-52,-900,1
10436,15.08,1,-441,1
10463,15.07,-116,-72,1
10490,15.48,-310,131,1
10517,15.08,-485,165,1
10544,15.96,-587,79,1
10571,15.36,-596,-51,1
10598,16.37,-530,-162,1
10625,15.78,-419,-212,1
10652,16.66,-291,-192,1
10679,16.22,-151,-112,1
10706,16.91,70,10,1
10733,16.69,503,179,1
10760,17.06,1111,422,1
10787,17.29,1657,752,1
10814,17.11,1979,1128,1
10841,17.78,2071,1465,1
10868,17.42,1997,1675,1
10895,18.23,1694,1707,1
10922,17.69,998,1526,1
10949,18.63,0,1101,1
10976,17.92,-957,439,1
11003,18.89,-1563,-361,1
11030,18.40,-1686,-1123,1
11057,19.25,-1402,-1661,1
11084,18.92,-925,-1859,1
11111,19.55,-490,-1722,1
11138,19.48,-243,-1357,1
11165,19.73,-213,-921,1
11192,19.89,-339,-555,1
11219,19.97,-518,-336,1
11246,20.37,-662,-269,1
11273,20.43,-718,-307,1
11300,20.53,-682,-377,1
11327,21.14,-582,-421,1
11354,20.81,-450,-405,1
11381,21.79,-312,-327,1
11408,21.12,-145,-201,1
11435,22.07,187,-34,1
11462,21.51,761,192,1
11489,22.51,1381,508,1
11516,22.31,1819,899,1
11543,22.69,2013,1290,1
11570,22.90,2007,1587,1
11597,23.03,1838,1721,1
11624,23.62,1421,1659,1
11651,23.23,659,1384,1
11678,24.30,-309,882,1
11705,23.63,-1155,188,1
11732,24.56,-1611,-584,1
11759,23.99,-1606,-1262,1
11786,24.86,-1266,-1683,1
11813,24.61,-825,-1772,1
11840,25.06,-482,-1567,1
11867,25.46,-333,-1193,1
11894,25.13,-370,-797,1
11921,26.07,-510,-495,1
11948,25.54,-656,-334,1
11975,26.64,-741,-296,1
12002,25.97,-738,-327,1
12029,26.90,-661,-364,1
12056,27.00,-539,-361,1
12083,27.03,-399,-302,1
12110,27.64,-250,-192,1
12137,27.00,-32,-44,1
12164,28.10,387,143,1
12191,27.26,996,399,1
12218,28.17,1564,740,1
