Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.17,112,7,0
8465,-0.13,525,55,0
8492,-0.15,1249,211,0
8519,-0.19,2077,529,0
8546,-0.11,2724,995,0
8573,-0.12,3038,1509,0
8600,-0.08,3027,1930,0
8627,-0.12,2656,2132,0
8654,-0.10,1853,2033,0
8681,-0.02,767,1593,0
8708,-0.17,-266,847,0
8735,-0.14,-962,-72,0
8762,-0.18,-1192,-964,0
8789,-0.23,-1006,-1630,0
8816,-0.13,-588,-1946,0
8843,-0.14,-165,-1902,0
8870,-0.16,86,-1598,0
8897,-0.22,98,-1190,0
8924,-0.11,-89,-834,0
8951,-0.10,-371,-626,0
8978,-0.13,-634,-588,0
9005,-0.20,-804,-674,0
9032,-0.14,-860,-808,0
9059,-0.07,-829,-916,0
9086,-0.13,-754,-952,0
9113,-0.08,-646,-906,0
9140,-0.16,-434,-784,0
9167,-0.13,-5,-585,0
9194,-0.09,601,-288,0
9221,-0.16,1152,110,0
9248,-0.09,1480,563,0
9275,-0.23,1559,975,0
9302,-0.16,1319,1245,0
9329,-0.07,670,1285,0
9356,-0.14,-257,1038,0
9383,-0.14,-1149,512,0
9410,-0.16,-1732,-186,0
9437,-0.11,-1882,-881,0
9464,-0.10,-1647,-1386,0
9491,-0.06,-1196,-1583,0
9518,-0.09,-738,-1461,0
9545,-0.12,-438,-1106,0
9572,-0.13,-362,-662,0
9599,-0.16,-480,-274,0
9626,-0.12,-695,-31,0
9653,-0.10,-897,42,0
9680,-0.17,-1014,-10,0
9707,-0.14,-1020,-115,0
9734,-0.16,-935,-202,0
9761,-0.12,-796,-223,0
9788,-0.06,-609,-165,0
9815,-0.15,-295,-29,0
9842,-0.14,227,191,0
9869,-0.10,863,509,0
9896,-0.09,1386,914,0
9923,-0.14,1676,1343,0
9950,-0.09,1711,1698,0
9977,-0.13,1413,1887,0
10004,-0.04,725,1831,0
10031,-0.08,-196,1488,0
10058,-0.10,-1040,883,0
10085,-0.14,-1553,134,0
10112,-0.15,-1631,-577,0
10139,-0.18,-1342,-1076,0
10166,-0.09,-872,-1257,0
10193,-0.18,-430,-1127,0
10220,-0.15,-161,-785,0
