Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8925,-0.07,264,17,0
8952,-0.14,1071,121,0
8979,-0.17,2079,410,0
9006,-0.13,2809,901,0
9033,-0.17,3090,1477,0
9060,-0.11,2845,1941,0
9087,-0.12,2118,2113,0
9114,-0.15,1152,1892,0
9141,-0.05,267,1306,0
9168,-0.17,-316,501,0
9195,-0.13,-552,-316,0
9222,-0.18,-539,-966,0
9249,-0.09,-432,-1350,0
9276,-0.15,-355,-1476,0
9303,-0.09,-367,-1422,0
9330,-0.15,-459,-1289,0
9357,-0.09,-586,-1160,0
9384,-0.17,-700,-1075,0
9411,-0.20,-760,-1035,0
9438,-0.12,-707,-1011,0
9465,-0.16,-413,-953,0
9492,-0.17,178,-796,0
9519,-0.15,883,-486,0
9546,-0.12,1433,-32,0
9573,-0.12,1714,478,0
9600,-0.21,1753,924,0
9627,-0.06,1582,1202,0
9654,-0.16,1139,1258,0
9681,-0.03,404,1065,0
9708,-0.15,-456,630,0
9735,-0.06,-1186,8,0
9762,-0.13,-1613,-677,0
9789,-0.06,-1719,-1278,0
9816,-0.19,-1605,-1672,0
9843,-0.13,-1416,-1808,0
9870,-0.02,-1262,-1719,0
9897,-0.04,-1194,-1489,0
9924,-0.15,-1198,-1214,0
9951,-0.12,-1232,-965,0
9978,-0.17,-1250,-776,0
10005,-0.12,-1213,-640,0
10032,-0.15,-1045,-525,0
10059,-0.12,-589,-376,0
10086,-0.07,167,-121,0
10113,-0.12,933,288,0
10140,-0.10,1448,817,0
10167,-0.09,1676,1354,0
10194,-0.10,1681,1773,0
10221,-0.06,1458,1986,0
10248,-0.16,909,1950,0
10275,-0.21,88,1648,0
10302,-0.15,-756,1100,0
10329,-0.16,-1377,394,0
10356,-0.12,-1652,-323,0
10383,-0.07,-1619,-897,0
10410,-0.16,-1413,-1224,0
10437,-0.09,-1182,-1286,0
10464,-0.17,-1021,-1141,0
10491,-0.04,-954,-890,0
10518,-0.20,-953,-628,0
10545,-0.13,-974,-417,0
10572,-0.17,-974,-274,0
10599,-0.05,-922,-185,0
10626,-0.19,-750,-114,0
10653,-0.01,-314,-7,0
10680,-0.21,410,200,0
10707,-0.19,1167,557,0
10734,-0.09,1701,1035,0
10761,-0.18,1951,1529,0
10788,-0.11,1955,1916,0
10815,-0.13,1676,2100,0
10842,-0.17,1034,2024,0
10869,-0.07,153,1662,0
10896,-0.15,-679,1048,0
10923,-0.15,-1232,290,0
10950,-0.10,-1423,-446,0
10977,-0.14,-1320,-1002,0
11004,-0.15,-1077,-1289,0
11031,-0.18,-843,-1307,0
11058,-0.14,-703,-1134,0
11085,-0.10,-668,-878,0
11112,-0.22,-701,-634,0
11139,-0.12,-748,-457,0
11166,-0.15,-765,-354,0
11193,-0.11,-725,-303,0
11220,-0.18,-578,-264,0
11247,-0.14,-208,-187,0
11274,-0.16,437,-13,0
11301,-0.13,1184,303,0
11328,-0.08,1771,750,0
11355,-0.13,2083,1240,0
11382,-0.17,2079,1648,0
11409,-0.13,1682,1856,0
11436,-0.16,922,1778,0
11463,-0.03,19,1384,0
11490,-0.14,-744,734,0
11517,-0.15,-1181,-28,0
11544,-0.17,-1253,-723,0
11571,-0.15,-1065,-1200,0
11598,-0.19,-785,-1390,0
11625,-0.13,-555,-1324,0
11652,-0.15,-446,-1095,0
11679,-0.08,-451,-821,0
11706,-0.23,-522,-590,0
11733,-0.05,-597,-445,0
11760,-0.10,-634,-380,0
11787,-0.12,-600,-364,0
11814,-0.23,-436,-347,0
11841,-0.11,-17,-276,0
11868,-0.13,670,-88,0
11895,-0.19,1397,254,0
11922,-0.12,1915,720,0
11949,-0.10,2155,1206,0
11976,-0.09,2073,1584,0
12003,-0.09,1584,1742,0
12030,-0.15,767,1602,0
12057,-0.07,-123,1153,0
12084,-0.12,-835,473,0
12111,-0.08,-1216,-282,0
12138,-0.10,-1256,-940,0
12165,-0.13,-1060,-1364,0
12192,-0.18,-789,-1505,0
12219,-0.11,-570,-1402,0
12246,-0.12,-465,-1152,0
12273,-0.12,-468,-867,0
12300,-0.09,-533,-629,0
12327,-0.10,-603,-478,0
12354,-0.13,-630,-405,0
12381,-0.06,-553,-376,0
12408,-0.13,-272,-333,0
12435,-0.11,285,-210,0
12462,-0.18,1012,50,0
12489,-0.14,1640,458,0
12516,-0.20,2006,942,0
12543,-0.15,2055,1381,0
12570,-0.19,1727,1647,0
12597,-0.11,1056,1644,0
12624,-0.17,222,1337,0
12651,-0.10,-542,769,0
12678,-0.13,-1052,63,0
12705,-0.14,-1236,-618,0
12732,-0.15,-1143,-1128,0
12759,-0.13,-901,-1381,0
12786,-0.18,-653,-1377,0
12813,-0.16,-496,-1188,0
12840,-0.17,-453,-916,0
12867,-0.09,-492,-658,0
12894,-0.14,-558,-471,0
12921,-0.18,-595,-366,0
12948,-0.15,-519,-316,0
12975,-0.19,-195,-262,0
13002,-0.20,419,-127,0
13029,-0.13,1125,150,0
13056,-0.13,1665,564,0
13083,-0.08,1941,1028,0
13110,-0.16,1936,1420,0
13137,-0.16,1590,1629,0
13164,-0.21,900,1575,0
13191,-0.08,36,1231,0
13218,-0.13,-738,640,0
13245,-0.19,-1223,-75,0
13272,-0.14,-1358,-748,0
13299,-0.08,-1221,-1230,0
13326,-0.14,-966,-1444,0
13353,-0.07,-735,-1402,0
13380,-0.09,-608,-1188,0
13407,0.01,-591,-910,0
13434,-0.10,-646,-660,0
13461,-0.09,-712,-486,0
13488,-0.14,-706,-390,0
13515,-0.10,-478,-327,0
13542,-0.16,77,-217,0
13569,-0.09,824,20,0
13596,-0.03,1474,414,0
13623,-0.07,1858,900,0
13650,-0.09,1982,1357,0
13677,-0.12,1877,1669,0
13704,-0.10,1487,1762,0
13731,-0.11,777,1598,0
13758,-0.15,-97,1170,0
13785,-0.12,-872,529,0
13812,-0.08,-1347,-206,0
13839,-0.06,-1473,-877,0
13866,-0.12,-1345,-1345,0
13893,-0.10,-1114,-1544,0
13920,-0.12,-912,-1494,0
13947,-0.07,-802,-1281,0
13974,0.02,-779,-1009,0
14001,-0.08,-801,-759,0
14028,-0.10,-817,-573,0
14055,-0.04,-753,-449,0
14082,-0.08,-468,-343,0
14109,0.01,133,-183,0
14136,-0.12,902,103,0
14163,-0.13,1550,535,0
14190,-0.14,1924,1042,0
14217,-0.17,2036,1502,0
14244,-0.19,1907,1802,0
14271,-0.11,1473,1871,0
14298,-0.12,726,1673,0
14325,-0.03,-156,1208,0
14352,-0.11,-912,536,0
14379,-0.02,-1356,-215,0
14406,-0.15,-1454,-884,0
14433,-0.13,-1305,-1337,0
14460,-0.17,-1065,-1516,0
